group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,derived,linked-list.lox,,,1114100.0,ns,10
Lexer,derived,linked-list.lox,,,1923400.0,ns,20
Lexer,derived,linked-list.lox,,,2864500.0,ns,30
Lexer,derived,linked-list.lox,,,3874300.0,ns,40
Lexer,derived,linked-list.lox,,,4804900.0,ns,50
Lexer,derived,linked-list.lox,,,5795200.0,ns,60
Lexer,derived,linked-list.lox,,,6802800.0,ns,70
Lexer,derived,linked-list.lox,,,7753600.0,ns,80
Lexer,derived,linked-list.lox,,,8750800.0,ns,90
Lexer,derived,linked-list.lox,,,9702400.0,ns,100
Lexer,derived,linked-list.lox,,,10735900.0,ns,110
Lexer,derived,linked-list.lox,,,11753800.0,ns,120
Lexer,derived,linked-list.lox,,,12622100.0,ns,130
Lexer,derived,linked-list.lox,,,13643000.0,ns,140
Lexer,derived,linked-list.lox,,,14618200.0,ns,150
Lexer,derived,linked-list.lox,,,15624300.0,ns,160
Lexer,derived,linked-list.lox,,,16616100.0,ns,170
Lexer,derived,linked-list.lox,,,17802900.0,ns,180
Lexer,derived,linked-list.lox,,,18665800.0,ns,190
Lexer,derived,linked-list.lox,,,19629900.0,ns,200
Lexer,derived,linked-list.lox,,,20521800.0,ns,210
Lexer,derived,linked-list.lox,,,21505000.0,ns,220
Lexer,derived,linked-list.lox,,,22510900.0,ns,230
Lexer,derived,linked-list.lox,,,23414000.0,ns,240
Lexer,derived,linked-list.lox,,,24268500.0,ns,250
Lexer,derived,linked-list.lox,,,25382300.0,ns,260
Lexer,derived,linked-list.lox,,,26332500.0,ns,270
Lexer,derived,linked-list.lox,,,27173200.0,ns,280
Lexer,derived,linked-list.lox,,,28231200.0,ns,290
Lexer,derived,linked-list.lox,,,29126100.0,ns,300
Lexer,derived,linked-list.lox,,,30493800.0,ns,310
Lexer,derived,linked-list.lox,,,33759800.0,ns,320
Lexer,derived,linked-list.lox,,,32145800.0,ns,330
Lexer,derived,linked-list.lox,,,33359600.0,ns,340
Lexer,derived,linked-list.lox,,,34304000.0,ns,350
Lexer,derived,linked-list.lox,,,35068500.0,ns,360
Lexer,derived,linked-list.lox,,,36118600.0,ns,370
Lexer,derived,linked-list.lox,,,37332500.0,ns,380
Lexer,derived,linked-list.lox,,,38072400.0,ns,390
Lexer,derived,linked-list.lox,,,39166300.0,ns,400
Lexer,derived,linked-list.lox,,,39858800.0,ns,410
Lexer,derived,linked-list.lox,,,40625300.0,ns,420
Lexer,derived,linked-list.lox,,,41643800.0,ns,430
Lexer,derived,linked-list.lox,,,42626400.0,ns,440
Lexer,derived,linked-list.lox,,,43685100.0,ns,450
Lexer,derived,linked-list.lox,,,44846800.0,ns,460
Lexer,derived,linked-list.lox,,,45688800.0,ns,470
Lexer,derived,linked-list.lox,,,46621500.0,ns,480
Lexer,derived,linked-list.lox,,,48005700.0,ns,490
Lexer,derived,linked-list.lox,,,49133900.0,ns,500
Lexer,derived,linked-list.lox,,,50044300.0,ns,510
Lexer,derived,linked-list.lox,,,50751800.0,ns,520
Lexer,derived,linked-list.lox,,,51920600.0,ns,530
Lexer,derived,linked-list.lox,,,52241500.0,ns,540
Lexer,derived,linked-list.lox,,,54099900.0,ns,550
Lexer,derived,linked-list.lox,,,54724900.0,ns,560
Lexer,derived,linked-list.lox,,,55291000.0,ns,570
Lexer,derived,linked-list.lox,,,56866700.0,ns,580
Lexer,derived,linked-list.lox,,,57293600.0,ns,590
Lexer,derived,linked-list.lox,,,58635000.0,ns,600
Lexer,derived,linked-list.lox,,,59727900.0,ns,610
Lexer,derived,linked-list.lox,,,60214300.0,ns,620
Lexer,derived,linked-list.lox,,,61235900.0,ns,630
Lexer,derived,linked-list.lox,,,62050600.0,ns,640
Lexer,derived,linked-list.lox,,,63373300.0,ns,650
Lexer,derived,linked-list.lox,,,64348400.0,ns,660
Lexer,derived,linked-list.lox,,,65708100.0,ns,670
Lexer,derived,linked-list.lox,,,66865500.0,ns,680
Lexer,derived,linked-list.lox,,,68009500.0,ns,690
Lexer,derived,linked-list.lox,,,68412300.0,ns,700
Lexer,derived,linked-list.lox,,,72471900.0,ns,710
