group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,manual,classes.lox,,,943800.0,ns,25
Lexer,manual,classes.lox,,,1717300.0,ns,50
Lexer,manual,classes.lox,,,2567000.0,ns,75
Lexer,manual,classes.lox,,,3525500.0,ns,100
Lexer,manual,classes.lox,,,4377900.0,ns,125
Lexer,manual,classes.lox,,,5409500.0,ns,150
Lexer,manual,classes.lox,,,6149300.0,ns,175
Lexer,manual,classes.lox,,,7106800.0,ns,200
Lexer,manual,classes.lox,,,8099900.0,ns,225
Lexer,manual,classes.lox,,,8842300.0,ns,250
Lexer,manual,classes.lox,,,9619600.0,ns,275
Lexer,manual,classes.lox,,,10511300.0,ns,300
Lexer,manual,classes.lox,,,11307300.0,ns,325
Lexer,manual,classes.lox,,,12379400.0,ns,350
Lexer,manual,classes.lox,,,13565700.0,ns,375
Lexer,manual,classes.lox,,,14467300.0,ns,400
Lexer,manual,classes.lox,,,15242500.0,ns,425
Lexer,manual,classes.lox,,,16054300.0,ns,450
Lexer,manual,classes.lox,,,17027500.0,ns,475
Lexer,manual,classes.lox,,,17729800.0,ns,500
Lexer,manual,classes.lox,,,18647300.0,ns,525
Lexer,manual,classes.lox,,,19383300.0,ns,550
Lexer,manual,classes.lox,,,20219800.0,ns,575
Lexer,manual,classes.lox,,,21059300.0,ns,600
Lexer,manual,classes.lox,,,22269700.0,ns,625
Lexer,manual,classes.lox,,,23520000.0,ns,650
Lexer,manual,classes.lox,,,24080400.0,ns,675
Lexer,manual,classes.lox,,,25128200.0,ns,700
Lexer,manual,classes.lox,,,25735700.0,ns,725
Lexer,manual,classes.lox,,,26653400.0,ns,750
Lexer,manual,classes.lox,,,27142300.0,ns,775
Lexer,manual,classes.lox,,,28110300.0,ns,800
Lexer,manual,classes.lox,,,29652400.0,ns,825
Lexer,manual,classes.lox,,,30031200.0,ns,850
Lexer,manual,classes.lox,,,34810400.0,ns,875
Lexer,manual,classes.lox,,,32359700.0,ns,900
Lexer,manual,classes.lox,,,32925400.0,ns,925
Lexer,manual,classes.lox,,,33439100.0,ns,950
Lexer,manual,classes.lox,,,34239300.0,ns,975
Lexer,manual,classes.lox,,,35231200.0,ns,1000
Lexer,manual,classes.lox,,,36059200.0,ns,1025
Lexer,manual,classes.lox,,,37065800.0,ns,1050
Lexer,manual,classes.lox,,,37738300.0,ns,1075
Lexer,manual,classes.lox,,,38980200.0,ns,1100
Lexer,manual,classes.lox,,,39743500.0,ns,1125
Lexer,manual,classes.lox,,,40594000.0,ns,1150
Lexer,manual,classes.lox,,,41535600.0,ns,1175
Lexer,manual,classes.lox,,,42497800.0,ns,1200
Lexer,manual,classes.lox,,,43004600.0,ns,1225
Lexer,manual,classes.lox,,,44200600.0,ns,1250
Lexer,manual,classes.lox,,,45538100.0,ns,1275
Lexer,manual,classes.lox,,,45711900.0,ns,1300
Lexer,manual,classes.lox,,,46645400.0,ns,1325
Lexer,manual,classes.lox,,,47532300.0,ns,1350
Lexer,manual,classes.lox,,,48568800.0,ns,1375
Lexer,manual,classes.lox,,,49656000.0,ns,1400
Lexer,manual,classes.lox,,,50401800.0,ns,1425
Lexer,manual,classes.lox,,,51572000.0,ns,1450
Lexer,manual,classes.lox,,,52532900.0,ns,1475
Lexer,manual,classes.lox,,,52871700.0,ns,1500
Lexer,manual,classes.lox,,,54135100.0,ns,1525
Lexer,manual,classes.lox,,,54436700.0,ns,1550
Lexer,manual,classes.lox,,,55988700.0,ns,1575
Lexer,manual,classes.lox,,,57088200.0,ns,1600
Lexer,manual,classes.lox,,,57065000.0,ns,1625
Lexer,manual,classes.lox,,,58054000.0,ns,1650
Lexer,manual,classes.lox,,,59548200.0,ns,1675
Lexer,manual,classes.lox,,,59929800.0,ns,1700
Lexer,manual,classes.lox,,,61611600.0,ns,1725
Lexer,manual,classes.lox,,,62140600.0,ns,1750
Lexer,manual,classes.lox,,,62697600.0,ns,1775
Lexer,manual,classes.lox,,,63679100.0,ns,1800
Lexer,manual,classes.lox,,,64553600.0,ns,1825
Lexer,manual,classes.lox,,,65630100.0,ns,1850
Lexer,manual,classes.lox,,,67677300.0,ns,1875
Lexer,manual,classes.lox,,,67015400.0,ns,1900
Lexer,manual,classes.lox,,,67898100.0,ns,1925
Lexer,manual,classes.lox,,,68665700.0,ns,1950
Lexer,manual,classes.lox,,,70197500.0,ns,1975
Lexer,manual,classes.lox,,,70453500.0,ns,2000
Lexer,manual,classes.lox,,,71360900.0,ns,2025
Lexer,manual,classes.lox,,,71941200.0,ns,2050
Lexer,manual,classes.lox,,,73749900.0,ns,2075
Lexer,manual,classes.lox,,,74301000.0,ns,2100
Lexer,manual,classes.lox,,,75411800.0,ns,2125
Lexer,manual,classes.lox,,,75904900.0,ns,2150
Lexer,manual,classes.lox,,,77049600.0,ns,2175
Lexer,manual,classes.lox,,,78328700.0,ns,2200
Lexer,manual,classes.lox,,,79478100.0,ns,2225
Lexer,manual,classes.lox,,,79550700.0,ns,2250
Lexer,manual,classes.lox,,,80535600.0,ns,2275
Lexer,manual,classes.lox,,,81288000.0,ns,2300
Lexer,manual,classes.lox,,,82406700.0,ns,2325
Lexer,manual,classes.lox,,,83192900.0,ns,2350
Lexer,manual,classes.lox,,,83499700.0,ns,2375
Lexer,manual,classes.lox,,,84585700.0,ns,2400
Lexer,manual,classes.lox,,,85734100.0,ns,2425
Lexer,manual,classes.lox,,,88388400.0,ns,2450
Lexer,manual,classes.lox,,,87890700.0,ns,2475
Lexer,manual,classes.lox,,,90265700.0,ns,2500
