group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,manual,counter.lox,,,997200.0,ns,89
Lexer,manual,counter.lox,,,1830800.0,ns,178
Lexer,manual,counter.lox,,,2776000.0,ns,267
Lexer,manual,counter.lox,,,3678100.0,ns,356
Lexer,manual,counter.lox,,,4707800.0,ns,445
Lexer,manual,counter.lox,,,5597200.0,ns,534
Lexer,manual,counter.lox,,,6441800.0,ns,623
Lexer,manual,counter.lox,,,7283500.0,ns,712
Lexer,manual,counter.lox,,,8527000.0,ns,801
Lexer,manual,counter.lox,,,9529500.0,ns,890
Lexer,manual,counter.lox,,,10074000.0,ns,979
Lexer,manual,counter.lox,,,11094200.0,ns,1068
Lexer,manual,counter.lox,,,12031600.0,ns,1157
Lexer,manual,counter.lox,,,12820200.0,ns,1246
Lexer,manual,counter.lox,,,14203900.0,ns,1335
Lexer,manual,counter.lox,,,14741400.0,ns,1424
Lexer,manual,counter.lox,,,15635500.0,ns,1513
Lexer,manual,counter.lox,,,16555800.0,ns,1602
Lexer,manual,counter.lox,,,17642100.0,ns,1691
Lexer,manual,counter.lox,,,18403100.0,ns,1780
Lexer,manual,counter.lox,,,19119600.0,ns,1869
Lexer,manual,counter.lox,,,20312700.0,ns,1958
Lexer,manual,counter.lox,,,21350200.0,ns,2047
Lexer,manual,counter.lox,,,22217300.0,ns,2136
Lexer,manual,counter.lox,,,23445400.0,ns,2225
Lexer,manual,counter.lox,,,24091500.0,ns,2314
Lexer,manual,counter.lox,,,25173400.0,ns,2403
Lexer,manual,counter.lox,,,26031300.0,ns,2492
Lexer,manual,counter.lox,,,26984600.0,ns,2581
Lexer,manual,counter.lox,,,28053500.0,ns,2670
Lexer,manual,counter.lox,,,29006000.0,ns,2759
Lexer,manual,counter.lox,,,29836600.0,ns,2848
Lexer,manual,counter.lox,,,30672700.0,ns,2937
Lexer,manual,counter.lox,,,31832800.0,ns,3026
Lexer,manual,counter.lox,,,32441000.0,ns,3115
Lexer,manual,counter.lox,,,33304900.0,ns,3204
Lexer,manual,counter.lox,,,35922300.0,ns,3293
Lexer,manual,counter.lox,,,35858500.0,ns,3382
Lexer,manual,counter.lox,,,36447100.0,ns,3471
Lexer,manual,counter.lox,,,37300300.0,ns,3560
Lexer,manual,counter.lox,,,37839300.0,ns,3649
Lexer,manual,counter.lox,,,38935900.0,ns,3738
Lexer,manual,counter.lox,,,39558400.0,ns,3827
Lexer,manual,counter.lox,,,40468200.0,ns,3916
Lexer,manual,counter.lox,,,41447300.0,ns,4005
Lexer,manual,counter.lox,,,42639700.0,ns,4094
Lexer,manual,counter.lox,,,43546600.0,ns,4183
Lexer,manual,counter.lox,,,44383100.0,ns,4272
Lexer,manual,counter.lox,,,45434000.0,ns,4361
Lexer,manual,counter.lox,,,46338100.0,ns,4450
Lexer,manual,counter.lox,,,47034700.0,ns,4539
Lexer,manual,counter.lox,,,47983300.0,ns,4628
Lexer,manual,counter.lox,,,49712000.0,ns,4717
Lexer,manual,counter.lox,,,50546900.0,ns,4806
Lexer,manual,counter.lox,,,51316600.0,ns,4895
Lexer,manual,counter.lox,,,52601100.0,ns,4984
Lexer,manual,counter.lox,,,52518800.0,ns,5073
Lexer,manual,counter.lox,,,53383900.0,ns,5162
Lexer,manual,counter.lox,,,54954600.0,ns,5251
Lexer,manual,counter.lox,,,55471500.0,ns,5340
Lexer,manual,counter.lox,,,56136900.0,ns,5429
Lexer,manual,counter.lox,,,57427600.0,ns,5518
Lexer,manual,counter.lox,,,58203800.0,ns,5607
Lexer,manual,counter.lox,,,59709000.0,ns,5696
Lexer,manual,counter.lox,,,59746000.0,ns,5785
Lexer,manual,counter.lox,,,61236400.0,ns,5874
Lexer,manual,counter.lox,,,62849100.0,ns,5963
Lexer,manual,counter.lox,,,63169600.0,ns,6052
Lexer,manual,counter.lox,,,64044300.0,ns,6141
Lexer,manual,counter.lox,,,64795800.0,ns,6230
Lexer,manual,counter.lox,,,66339800.0,ns,6319
Lexer,manual,counter.lox,,,67454600.0,ns,6408
Lexer,manual,counter.lox,,,67473700.0,ns,6497
Lexer,manual,counter.lox,,,68067800.0,ns,6586
Lexer,manual,counter.lox,,,69625100.0,ns,6675
Lexer,manual,counter.lox,,,70810900.0,ns,6764
Lexer,manual,counter.lox,,,71108300.0,ns,6853
Lexer,manual,counter.lox,,,72574800.0,ns,6942
Lexer,manual,counter.lox,,,73989000.0,ns,7031
Lexer,manual,counter.lox,,,77425300.0,ns,7120
Lexer,manual,counter.lox,,,74301200.0,ns,7209
Lexer,manual,counter.lox,,,75745800.0,ns,7298
Lexer,manual,counter.lox,,,77049500.0,ns,7387
Lexer,manual,counter.lox,,,77831200.0,ns,7476
Lexer,manual,counter.lox,,,79683900.0,ns,7565
Lexer,manual,counter.lox,,,80949100.0,ns,7654
Lexer,manual,counter.lox,,,80404300.0,ns,7743
Lexer,manual,counter.lox,,,82214500.0,ns,7832
Lexer,manual,counter.lox,,,83164100.0,ns,7921
Lexer,manual,counter.lox,,,83605800.0,ns,8010
Lexer,manual,counter.lox,,,84753000.0,ns,8099
Lexer,manual,counter.lox,,,84911800.0,ns,8188
Lexer,manual,counter.lox,,,86352100.0,ns,8277
Lexer,manual,counter.lox,,,86699100.0,ns,8366
Lexer,manual,counter.lox,,,87793900.0,ns,8455
Lexer,manual,counter.lox,,,88434200.0,ns,8544
Lexer,manual,counter.lox,,,90499400.0,ns,8633
Lexer,manual,counter.lox,,,91059300.0,ns,8722
Lexer,manual,counter.lox,,,94886300.0,ns,8811
Lexer,manual,counter.lox,,,92901400.0,ns,8900
