group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,manual,fib.lox,,,1131400.0,ns,80
Lexer,manual,fib.lox,,,1868800.0,ns,160
Lexer,manual,fib.lox,,,2800700.0,ns,240
Lexer,manual,fib.lox,,,3710000.0,ns,320
Lexer,manual,fib.lox,,,4562700.0,ns,400
Lexer,manual,fib.lox,,,5641300.0,ns,480
Lexer,manual,fib.lox,,,6503600.0,ns,560
Lexer,manual,fib.lox,,,7345800.0,ns,640
Lexer,manual,fib.lox,,,8472500.0,ns,720
Lexer,manual,fib.lox,,,9309900.0,ns,800
Lexer,manual,fib.lox,,,10381900.0,ns,880
Lexer,manual,fib.lox,,,11192600.0,ns,960
Lexer,manual,fib.lox,,,12202200.0,ns,1040
Lexer,manual,fib.lox,,,13000200.0,ns,1120
Lexer,manual,fib.lox,,,13895200.0,ns,1200
Lexer,manual,fib.lox,,,14832200.0,ns,1280
Lexer,manual,fib.lox,,,15979100.0,ns,1360
Lexer,manual,fib.lox,,,16910400.0,ns,1440
Lexer,manual,fib.lox,,,17757100.0,ns,1520
Lexer,manual,fib.lox,,,18465800.0,ns,1600
Lexer,manual,fib.lox,,,22574100.0,ns,1680
Lexer,manual,fib.lox,,,20403800.0,ns,1760
Lexer,manual,fib.lox,,,21304700.0,ns,1840
Lexer,manual,fib.lox,,,22655200.0,ns,1920
Lexer,manual,fib.lox,,,23512500.0,ns,2000
Lexer,manual,fib.lox,,,24288400.0,ns,2080
Lexer,manual,fib.lox,,,25091300.0,ns,2160
Lexer,manual,fib.lox,,,25882400.0,ns,2240
Lexer,manual,fib.lox,,,26954500.0,ns,2320
Lexer,manual,fib.lox,,,27754500.0,ns,2400
Lexer,manual,fib.lox,,,28706800.0,ns,2480
Lexer,manual,fib.lox,,,29408200.0,ns,2560
Lexer,manual,fib.lox,,,30651300.0,ns,2640
Lexer,manual,fib.lox,,,31883800.0,ns,2720
Lexer,manual,fib.lox,,,32701200.0,ns,2800
Lexer,manual,fib.lox,,,33660100.0,ns,2880
Lexer,manual,fib.lox,,,34655400.0,ns,2960
Lexer,manual,fib.lox,,,35410800.0,ns,3040
Lexer,manual,fib.lox,,,36397500.0,ns,3120
Lexer,manual,fib.lox,,,37064000.0,ns,3200
Lexer,manual,fib.lox,,,37985100.0,ns,3280
