group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,manual,fizzbuzz2.lox,,,1000600.0,ns,29
Lexer,manual,fizzbuzz2.lox,,,1863200.0,ns,58
Lexer,manual,fizzbuzz2.lox,,,2806400.0,ns,87
Lexer,manual,fizzbuzz2.lox,,,3717600.0,ns,116
Lexer,manual,fizzbuzz2.lox,,,4812100.0,ns,145
Lexer,manual,fizzbuzz2.lox,,,5773000.0,ns,174
Lexer,manual,fizzbuzz2.lox,,,6727200.0,ns,203
Lexer,manual,fizzbuzz2.lox,,,7532200.0,ns,232
Lexer,manual,fizzbuzz2.lox,,,8510900.0,ns,261
Lexer,manual,fizzbuzz2.lox,,,9406200.0,ns,290
Lexer,manual,fizzbuzz2.lox,,,10330200.0,ns,319
Lexer,manual,fizzbuzz2.lox,,,11382900.0,ns,348
Lexer,manual,fizzbuzz2.lox,,,12506900.0,ns,377
Lexer,manual,fizzbuzz2.lox,,,13522000.0,ns,406
Lexer,manual,fizzbuzz2.lox,,,14616200.0,ns,435
Lexer,manual,fizzbuzz2.lox,,,15339100.0,ns,464
Lexer,manual,fizzbuzz2.lox,,,16507100.0,ns,493
Lexer,manual,fizzbuzz2.lox,,,17280400.0,ns,522
Lexer,manual,fizzbuzz2.lox,,,18134000.0,ns,551
Lexer,manual,fizzbuzz2.lox,,,19044300.0,ns,580
Lexer,manual,fizzbuzz2.lox,,,20107300.0,ns,609
Lexer,manual,fizzbuzz2.lox,,,21218000.0,ns,638
Lexer,manual,fizzbuzz2.lox,,,22019200.0,ns,667
Lexer,manual,fizzbuzz2.lox,,,22954100.0,ns,696
Lexer,manual,fizzbuzz2.lox,,,23608900.0,ns,725
Lexer,manual,fizzbuzz2.lox,,,24758500.0,ns,754
Lexer,manual,fizzbuzz2.lox,,,29169500.0,ns,783
Lexer,manual,fizzbuzz2.lox,,,26780300.0,ns,812
Lexer,manual,fizzbuzz2.lox,,,27784700.0,ns,841
Lexer,manual,fizzbuzz2.lox,,,28891900.0,ns,870
Lexer,manual,fizzbuzz2.lox,,,29804100.0,ns,899
Lexer,manual,fizzbuzz2.lox,,,30064900.0,ns,928
Lexer,manual,fizzbuzz2.lox,,,31243900.0,ns,957
Lexer,manual,fizzbuzz2.lox,,,32045900.0,ns,986
Lexer,manual,fizzbuzz2.lox,,,33185200.0,ns,1015
Lexer,manual,fizzbuzz2.lox,,,33874200.0,ns,1044
Lexer,manual,fizzbuzz2.lox,,,35185700.0,ns,1073
Lexer,manual,fizzbuzz2.lox,,,36094000.0,ns,1102
Lexer,manual,fizzbuzz2.lox,,,37017200.0,ns,1131
Lexer,manual,fizzbuzz2.lox,,,38325400.0,ns,1160
Lexer,manual,fizzbuzz2.lox,,,38869300.0,ns,1189
Lexer,manual,fizzbuzz2.lox,,,39552000.0,ns,1218
Lexer,manual,fizzbuzz2.lox,,,40808600.0,ns,1247
Lexer,manual,fizzbuzz2.lox,,,41773900.0,ns,1276
Lexer,manual,fizzbuzz2.lox,,,42505800.0,ns,1305
Lexer,manual,fizzbuzz2.lox,,,43520400.0,ns,1334
Lexer,manual,fizzbuzz2.lox,,,44631800.0,ns,1363
Lexer,manual,fizzbuzz2.lox,,,45516600.0,ns,1392
Lexer,manual,fizzbuzz2.lox,,,47281100.0,ns,1421
Lexer,manual,fizzbuzz2.lox,,,47119700.0,ns,1450
Lexer,manual,fizzbuzz2.lox,,,48742600.0,ns,1479
Lexer,manual,fizzbuzz2.lox,,,49219400.0,ns,1508
Lexer,manual,fizzbuzz2.lox,,,50112800.0,ns,1537
Lexer,manual,fizzbuzz2.lox,,,50788400.0,ns,1566
Lexer,manual,fizzbuzz2.lox,,,52229900.0,ns,1595
Lexer,manual,fizzbuzz2.lox,,,53302500.0,ns,1624
Lexer,manual,fizzbuzz2.lox,,,53243000.0,ns,1653
Lexer,manual,fizzbuzz2.lox,,,54632100.0,ns,1682
Lexer,manual,fizzbuzz2.lox,,,56313300.0,ns,1711
Lexer,manual,fizzbuzz2.lox,,,57027200.0,ns,1740
Lexer,manual,fizzbuzz2.lox,,,57355900.0,ns,1769
