group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,manual,forloop.lox,,,1099400.0,ns,283
Lexer,manual,forloop.lox,,,1779400.0,ns,566
Lexer,manual,forloop.lox,,,2715400.0,ns,849
Lexer,manual,forloop.lox,,,3632500.0,ns,1132
Lexer,manual,forloop.lox,,,4591300.0,ns,1415
Lexer,manual,forloop.lox,,,5342800.0,ns,1698
Lexer,manual,forloop.lox,,,6276300.0,ns,1981
Lexer,manual,forloop.lox,,,7379600.0,ns,2264
Lexer,manual,forloop.lox,,,8121300.0,ns,2547
Lexer,manual,forloop.lox,,,9069600.0,ns,2830
Lexer,manual,forloop.lox,,,10009200.0,ns,3113
Lexer,manual,forloop.lox,,,10848700.0,ns,3396
Lexer,manual,forloop.lox,,,11782300.0,ns,3679
Lexer,manual,forloop.lox,,,12738300.0,ns,3962
Lexer,manual,forloop.lox,,,13765700.0,ns,4245
Lexer,manual,forloop.lox,,,14468100.0,ns,4528
Lexer,manual,forloop.lox,,,15505400.0,ns,4811
Lexer,manual,forloop.lox,,,16339200.0,ns,5094
Lexer,manual,forloop.lox,,,17390000.0,ns,5377
Lexer,manual,forloop.lox,,,18371900.0,ns,5660
Lexer,manual,forloop.lox,,,19285900.0,ns,5943
Lexer,manual,forloop.lox,,,19984000.0,ns,6226
Lexer,manual,forloop.lox,,,20844000.0,ns,6509
Lexer,manual,forloop.lox,,,21887900.0,ns,6792
Lexer,manual,forloop.lox,,,22642400.0,ns,7075
Lexer,manual,forloop.lox,,,23588000.0,ns,7358
Lexer,manual,forloop.lox,,,24053600.0,ns,7641
Lexer,manual,forloop.lox,,,25266000.0,ns,7924
Lexer,manual,forloop.lox,,,26256900.0,ns,8207
Lexer,manual,forloop.lox,,,27073200.0,ns,8490
Lexer,manual,forloop.lox,,,27936900.0,ns,8773
Lexer,manual,forloop.lox,,,28540000.0,ns,9056
Lexer,manual,forloop.lox,,,30041500.0,ns,9339
Lexer,manual,forloop.lox,,,30557600.0,ns,9622
Lexer,manual,forloop.lox,,,31539600.0,ns,9905
Lexer,manual,forloop.lox,,,32488600.0,ns,10188
Lexer,manual,forloop.lox,,,33212700.0,ns,10471
Lexer,manual,forloop.lox,,,34215300.0,ns,10754
Lexer,manual,forloop.lox,,,35084800.0,ns,11037
Lexer,manual,forloop.lox,,,36293900.0,ns,11320
Lexer,manual,forloop.lox,,,37615900.0,ns,11603
Lexer,manual,forloop.lox,,,40195200.0,ns,11886
Lexer,manual,forloop.lox,,,39376700.0,ns,12169
Lexer,manual,forloop.lox,,,40426500.0,ns,12452
Lexer,manual,forloop.lox,,,41248500.0,ns,12735
Lexer,manual,forloop.lox,,,41571400.0,ns,13018
Lexer,manual,forloop.lox,,,42378700.0,ns,13301
Lexer,manual,forloop.lox,,,43937600.0,ns,13584
Lexer,manual,forloop.lox,,,44179300.0,ns,13867
Lexer,manual,forloop.lox,,,44801800.0,ns,14150
Lexer,manual,forloop.lox,,,45831400.0,ns,14433
Lexer,manual,forloop.lox,,,46646800.0,ns,14716
Lexer,manual,forloop.lox,,,48270600.0,ns,14999
Lexer,manual,forloop.lox,,,48875300.0,ns,15282
Lexer,manual,forloop.lox,,,49722800.0,ns,15565
Lexer,manual,forloop.lox,,,50734800.0,ns,15848
Lexer,manual,forloop.lox,,,50867200.0,ns,16131
Lexer,manual,forloop.lox,,,52287900.0,ns,16414
Lexer,manual,forloop.lox,,,53430300.0,ns,16697
Lexer,manual,forloop.lox,,,54500500.0,ns,16980
Lexer,manual,forloop.lox,,,55472300.0,ns,17263
Lexer,manual,forloop.lox,,,56917500.0,ns,17546
Lexer,manual,forloop.lox,,,57982100.0,ns,17829
Lexer,manual,forloop.lox,,,58689500.0,ns,18112
Lexer,manual,forloop.lox,,,58773000.0,ns,18395
Lexer,manual,forloop.lox,,,60147900.0,ns,18678
Lexer,manual,forloop.lox,,,60191700.0,ns,18961
Lexer,manual,forloop.lox,,,61507800.0,ns,19244
Lexer,manual,forloop.lox,,,62722000.0,ns,19527
Lexer,manual,forloop.lox,,,63451300.0,ns,19810
Lexer,manual,forloop.lox,,,63988600.0,ns,20093
Lexer,manual,forloop.lox,,,65521700.0,ns,20376
Lexer,manual,forloop.lox,,,66364900.0,ns,20659
Lexer,manual,forloop.lox,,,67014100.0,ns,20942
Lexer,manual,forloop.lox,,,67735400.0,ns,21225
Lexer,manual,forloop.lox,,,68906600.0,ns,21508
Lexer,manual,forloop.lox,,,70039800.0,ns,21791
Lexer,manual,forloop.lox,,,71576600.0,ns,22074
Lexer,manual,forloop.lox,,,72748200.0,ns,22357
Lexer,manual,forloop.lox,,,73275300.0,ns,22640
Lexer,manual,forloop.lox,,,74286000.0,ns,22923
Lexer,manual,forloop.lox,,,74463500.0,ns,23206
Lexer,manual,forloop.lox,,,74795200.0,ns,23489
Lexer,manual,forloop.lox,,,75436300.0,ns,23772
Lexer,manual,forloop.lox,,,76838800.0,ns,24055
Lexer,manual,forloop.lox,,,77283900.0,ns,24338
Lexer,manual,forloop.lox,,,78704000.0,ns,24621
Lexer,manual,forloop.lox,,,79689700.0,ns,24904
Lexer,manual,forloop.lox,,,80195200.0,ns,25187
Lexer,manual,forloop.lox,,,81548300.0,ns,25470
Lexer,manual,forloop.lox,,,82505500.0,ns,25753
Lexer,manual,forloop.lox,,,83846700.0,ns,26036
Lexer,manual,forloop.lox,,,84315300.0,ns,26319
Lexer,manual,forloop.lox,,,84593800.0,ns,26602
Lexer,manual,forloop.lox,,,86133000.0,ns,26885
Lexer,manual,forloop.lox,,,86998200.0,ns,27168
Lexer,manual,forloop.lox,,,88284200.0,ns,27451
Lexer,manual,forloop.lox,,,89298400.0,ns,27734
Lexer,manual,forloop.lox,,,90137700.0,ns,28017
Lexer,manual,forloop.lox,,,91974400.0,ns,28300
