group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,manual,fun-expressions.lox,,,931400.0,ns,105
Lexer,manual,fun-expressions.lox,,,1872700.0,ns,210
Lexer,manual,fun-expressions.lox,,,2796100.0,ns,315
Lexer,manual,fun-expressions.lox,,,3729800.0,ns,420
Lexer,manual,fun-expressions.lox,,,4720500.0,ns,525
Lexer,manual,fun-expressions.lox,,,5781200.0,ns,630
Lexer,manual,fun-expressions.lox,,,6705400.0,ns,735
Lexer,manual,fun-expressions.lox,,,7582000.0,ns,840
Lexer,manual,fun-expressions.lox,,,8580900.0,ns,945
Lexer,manual,fun-expressions.lox,,,9468100.0,ns,1050
Lexer,manual,fun-expressions.lox,,,10360300.0,ns,1155
Lexer,manual,fun-expressions.lox,,,11426400.0,ns,1260
Lexer,manual,fun-expressions.lox,,,12548200.0,ns,1365
Lexer,manual,fun-expressions.lox,,,13352000.0,ns,1470
Lexer,manual,fun-expressions.lox,,,14331200.0,ns,1575
Lexer,manual,fun-expressions.lox,,,15232000.0,ns,1680
Lexer,manual,fun-expressions.lox,,,16274700.0,ns,1785
Lexer,manual,fun-expressions.lox,,,17217800.0,ns,1890
Lexer,manual,fun-expressions.lox,,,17937700.0,ns,1995
Lexer,manual,fun-expressions.lox,,,18878500.0,ns,2100
Lexer,manual,fun-expressions.lox,,,20004900.0,ns,2205
Lexer,manual,fun-expressions.lox,,,20878200.0,ns,2310
Lexer,manual,fun-expressions.lox,,,21692400.0,ns,2415
Lexer,manual,fun-expressions.lox,,,22615800.0,ns,2520
Lexer,manual,fun-expressions.lox,,,23487100.0,ns,2625
Lexer,manual,fun-expressions.lox,,,24526900.0,ns,2730
Lexer,manual,fun-expressions.lox,,,28852100.0,ns,2835
Lexer,manual,fun-expressions.lox,,,26999700.0,ns,2940
Lexer,manual,fun-expressions.lox,,,26794100.0,ns,3045
Lexer,manual,fun-expressions.lox,,,27610700.0,ns,3150
Lexer,manual,fun-expressions.lox,,,28659400.0,ns,3255
Lexer,manual,fun-expressions.lox,,,29688100.0,ns,3360
Lexer,manual,fun-expressions.lox,,,30713100.0,ns,3465
Lexer,manual,fun-expressions.lox,,,31775500.0,ns,3570
Lexer,manual,fun-expressions.lox,,,32697100.0,ns,3675
Lexer,manual,fun-expressions.lox,,,33466800.0,ns,3780
Lexer,manual,fun-expressions.lox,,,34818600.0,ns,3885
Lexer,manual,fun-expressions.lox,,,35638400.0,ns,3990
Lexer,manual,fun-expressions.lox,,,36718100.0,ns,4095
Lexer,manual,fun-expressions.lox,,,37459200.0,ns,4200
Lexer,manual,fun-expressions.lox,,,38245700.0,ns,4305
Lexer,manual,fun-expressions.lox,,,39243400.0,ns,4410
Lexer,manual,fun-expressions.lox,,,39841700.0,ns,4515
Lexer,manual,fun-expressions.lox,,,40939400.0,ns,4620
Lexer,manual,fun-expressions.lox,,,41831000.0,ns,4725
Lexer,manual,fun-expressions.lox,,,42651700.0,ns,4830
Lexer,manual,fun-expressions.lox,,,43411500.0,ns,4935
Lexer,manual,fun-expressions.lox,,,44276900.0,ns,5040
Lexer,manual,fun-expressions.lox,,,45490200.0,ns,5145
Lexer,manual,fun-expressions.lox,,,46376500.0,ns,5250
Lexer,manual,fun-expressions.lox,,,47309700.0,ns,5355
Lexer,manual,fun-expressions.lox,,,48361400.0,ns,5460
Lexer,manual,fun-expressions.lox,,,49758500.0,ns,5565
Lexer,manual,fun-expressions.lox,,,50264500.0,ns,5670
Lexer,manual,fun-expressions.lox,,,51185900.0,ns,5775
Lexer,manual,fun-expressions.lox,,,51952500.0,ns,5880
Lexer,manual,fun-expressions.lox,,,52892200.0,ns,5985
Lexer,manual,fun-expressions.lox,,,53932100.0,ns,6090
Lexer,manual,fun-expressions.lox,,,54485200.0,ns,6195
Lexer,manual,fun-expressions.lox,,,55546900.0,ns,6300
Lexer,manual,fun-expressions.lox,,,56971400.0,ns,6405
Lexer,manual,fun-expressions.lox,,,58095300.0,ns,6510
Lexer,manual,fun-expressions.lox,,,59391700.0,ns,6615
