group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,manual,fun.lox,,,1214600.0,ns,33
Lexer,manual,fun.lox,,,1887400.0,ns,66
Lexer,manual,fun.lox,,,2821300.0,ns,99
Lexer,manual,fun.lox,,,3633200.0,ns,132
Lexer,manual,fun.lox,,,4626400.0,ns,165
Lexer,manual,fun.lox,,,5622700.0,ns,198
Lexer,manual,fun.lox,,,6458600.0,ns,231
Lexer,manual,fun.lox,,,7416400.0,ns,264
Lexer,manual,fun.lox,,,8303300.0,ns,297
Lexer,manual,fun.lox,,,9245100.0,ns,330
Lexer,manual,fun.lox,,,10206700.0,ns,363
Lexer,manual,fun.lox,,,11200500.0,ns,396
Lexer,manual,fun.lox,,,12069200.0,ns,429
Lexer,manual,fun.lox,,,12985800.0,ns,462
Lexer,manual,fun.lox,,,13956900.0,ns,495
Lexer,manual,fun.lox,,,14892500.0,ns,528
Lexer,manual,fun.lox,,,15891700.0,ns,561
Lexer,manual,fun.lox,,,16768400.0,ns,594
Lexer,manual,fun.lox,,,17719800.0,ns,627
Lexer,manual,fun.lox,,,19021900.0,ns,660
Lexer,manual,fun.lox,,,19820800.0,ns,693
Lexer,manual,fun.lox,,,20615900.0,ns,726
Lexer,manual,fun.lox,,,21825100.0,ns,759
Lexer,manual,fun.lox,,,22625700.0,ns,792
Lexer,manual,fun.lox,,,23611400.0,ns,825
Lexer,manual,fun.lox,,,24617500.0,ns,858
Lexer,manual,fun.lox,,,25485400.0,ns,891
Lexer,manual,fun.lox,,,26354700.0,ns,924
Lexer,manual,fun.lox,,,27457200.0,ns,957
Lexer,manual,fun.lox,,,28080100.0,ns,990
Lexer,manual,fun.lox,,,29067600.0,ns,1023
Lexer,manual,fun.lox,,,30087200.0,ns,1056
Lexer,manual,fun.lox,,,31270100.0,ns,1089
Lexer,manual,fun.lox,,,32025400.0,ns,1122
Lexer,manual,fun.lox,,,32808400.0,ns,1155
Lexer,manual,fun.lox,,,33770900.0,ns,1188
Lexer,manual,fun.lox,,,34804600.0,ns,1221
Lexer,manual,fun.lox,,,35463500.0,ns,1254
Lexer,manual,fun.lox,,,36611000.0,ns,1287
Lexer,manual,fun.lox,,,37653400.0,ns,1320
Lexer,manual,fun.lox,,,38190100.0,ns,1353
Lexer,manual,fun.lox,,,39706700.0,ns,1386
Lexer,manual,fun.lox,,,41087200.0,ns,1419
Lexer,manual,fun.lox,,,41263400.0,ns,1452
Lexer,manual,fun.lox,,,45932300.0,ns,1485
Lexer,manual,fun.lox,,,43091000.0,ns,1518
