group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,manual,linked-list.lox,,,961500.0,ns,11
Lexer,manual,linked-list.lox,,,1922800.0,ns,22
Lexer,manual,linked-list.lox,,,2861800.0,ns,33
Lexer,manual,linked-list.lox,,,3851100.0,ns,44
Lexer,manual,linked-list.lox,,,4850500.0,ns,55
Lexer,manual,linked-list.lox,,,5792400.0,ns,66
Lexer,manual,linked-list.lox,,,6772900.0,ns,77
Lexer,manual,linked-list.lox,,,7797100.0,ns,88
Lexer,manual,linked-list.lox,,,8695200.0,ns,99
Lexer,manual,linked-list.lox,,,9613600.0,ns,110
Lexer,manual,linked-list.lox,,,10733600.0,ns,121
Lexer,manual,linked-list.lox,,,11635600.0,ns,132
Lexer,manual,linked-list.lox,,,12501300.0,ns,143
Lexer,manual,linked-list.lox,,,13515300.0,ns,154
Lexer,manual,linked-list.lox,,,14465600.0,ns,165
Lexer,manual,linked-list.lox,,,15537000.0,ns,176
Lexer,manual,linked-list.lox,,,16387400.0,ns,187
Lexer,manual,linked-list.lox,,,17305400.0,ns,198
Lexer,manual,linked-list.lox,,,18333900.0,ns,209
Lexer,manual,linked-list.lox,,,19234500.0,ns,220
Lexer,manual,linked-list.lox,,,19977100.0,ns,231
Lexer,manual,linked-list.lox,,,20898200.0,ns,242
Lexer,manual,linked-list.lox,,,21984900.0,ns,253
Lexer,manual,linked-list.lox,,,22878200.0,ns,264
Lexer,manual,linked-list.lox,,,23936400.0,ns,275
Lexer,manual,linked-list.lox,,,24907400.0,ns,286
Lexer,manual,linked-list.lox,,,25715900.0,ns,297
Lexer,manual,linked-list.lox,,,26923600.0,ns,308
Lexer,manual,linked-list.lox,,,28024700.0,ns,319
Lexer,manual,linked-list.lox,,,28828400.0,ns,330
Lexer,manual,linked-list.lox,,,29877100.0,ns,341
Lexer,manual,linked-list.lox,,,30683900.0,ns,352
Lexer,manual,linked-list.lox,,,31378100.0,ns,363
Lexer,manual,linked-list.lox,,,32259800.0,ns,374
Lexer,manual,linked-list.lox,,,33227000.0,ns,385
Lexer,manual,linked-list.lox,,,34258000.0,ns,396
Lexer,manual,linked-list.lox,,,35234100.0,ns,407
Lexer,manual,linked-list.lox,,,36051800.0,ns,418
Lexer,manual,linked-list.lox,,,37061900.0,ns,429
Lexer,manual,linked-list.lox,,,38187300.0,ns,440
Lexer,manual,linked-list.lox,,,39281800.0,ns,451
Lexer,manual,linked-list.lox,,,41231200.0,ns,462
Lexer,manual,linked-list.lox,,,44578800.0,ns,473
Lexer,manual,linked-list.lox,,,41985700.0,ns,484
Lexer,manual,linked-list.lox,,,43219500.0,ns,495
Lexer,manual,linked-list.lox,,,44125300.0,ns,506
Lexer,manual,linked-list.lox,,,45231000.0,ns,517
Lexer,manual,linked-list.lox,,,45644500.0,ns,528
Lexer,manual,linked-list.lox,,,47206100.0,ns,539
Lexer,manual,linked-list.lox,,,48651200.0,ns,550
Lexer,manual,linked-list.lox,,,49628500.0,ns,561
Lexer,manual,linked-list.lox,,,49813700.0,ns,572
Lexer,manual,linked-list.lox,,,50569000.0,ns,583
Lexer,manual,linked-list.lox,,,51354600.0,ns,594
Lexer,manual,linked-list.lox,,,52779800.0,ns,605
Lexer,manual,linked-list.lox,,,53473600.0,ns,616
Lexer,manual,linked-list.lox,,,54414600.0,ns,627
Lexer,manual,linked-list.lox,,,55325100.0,ns,638
Lexer,manual,linked-list.lox,,,56336200.0,ns,649
Lexer,manual,linked-list.lox,,,57216400.0,ns,660
Lexer,manual,linked-list.lox,,,58060700.0,ns,671
Lexer,manual,linked-list.lox,,,59651000.0,ns,682
Lexer,manual,linked-list.lox,,,60262100.0,ns,693
Lexer,manual,linked-list.lox,,,61811400.0,ns,704
Lexer,manual,linked-list.lox,,,62583200.0,ns,715
Lexer,manual,linked-list.lox,,,63548900.0,ns,726
Lexer,manual,linked-list.lox,,,64071700.0,ns,737
Lexer,manual,linked-list.lox,,,64834100.0,ns,748
Lexer,manual,linked-list.lox,,,66037500.0,ns,759
Lexer,manual,linked-list.lox,,,66711800.0,ns,770
Lexer,manual,linked-list.lox,,,67596900.0,ns,781
Lexer,manual,linked-list.lox,,,68604900.0,ns,792
Lexer,manual,linked-list.lox,,,69761700.0,ns,803
Lexer,manual,linked-list.lox,,,71026500.0,ns,814
Lexer,manual,linked-list.lox,,,72386500.0,ns,825
Lexer,manual,linked-list.lox,,,72582900.0,ns,836
Lexer,manual,linked-list.lox,,,74405400.0,ns,847
Lexer,manual,linked-list.lox,,,75625500.0,ns,858
Lexer,manual,linked-list.lox,,,76457700.0,ns,869
Lexer,manual,linked-list.lox,,,77232400.0,ns,880
Lexer,manual,linked-list.lox,,,77729200.0,ns,891
Lexer,manual,linked-list.lox,,,78249800.0,ns,902
Lexer,manual,linked-list.lox,,,79041100.0,ns,913
Lexer,manual,linked-list.lox,,,79563600.0,ns,924
Lexer,manual,linked-list.lox,,,81222700.0,ns,935
Lexer,manual,linked-list.lox,,,82231400.0,ns,946
Lexer,manual,linked-list.lox,,,84027800.0,ns,957
Lexer,manual,linked-list.lox,,,84757000.0,ns,968
Lexer,manual,linked-list.lox,,,86751400.0,ns,979
Lexer,manual,linked-list.lox,,,86936000.0,ns,990
Lexer,manual,linked-list.lox,,,89272000.0,ns,1001
Lexer,manual,linked-list.lox,,,89188300.0,ns,1012
Lexer,manual,linked-list.lox,,,90600600.0,ns,1023
Lexer,manual,linked-list.lox,,,90955400.0,ns,1034
Lexer,manual,linked-list.lox,,,91802300.0,ns,1045
Lexer,manual,linked-list.lox,,,92630000.0,ns,1056
Lexer,manual,linked-list.lox,,,94144000.0,ns,1067
Lexer,manual,linked-list.lox,,,95720100.0,ns,1078
Lexer,manual,linked-list.lox,,,95865300.0,ns,1089
Lexer,manual,linked-list.lox,,,97571000.0,ns,1100
