group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,derived,classes.lox,,,961100.0,ns,14
Parser,derived,classes.lox,,,1813700.0,ns,28
Parser,derived,classes.lox,,,2727500.0,ns,42
Parser,derived,classes.lox,,,3713000.0,ns,56
Parser,derived,classes.lox,,,4882900.0,ns,70
Parser,derived,classes.lox,,,5878800.0,ns,84
Parser,derived,classes.lox,,,6850300.0,ns,98
Parser,derived,classes.lox,,,7343400.0,ns,112
Parser,derived,classes.lox,,,8494000.0,ns,126
Parser,derived,classes.lox,,,9588900.0,ns,140
Parser,derived,classes.lox,,,10042800.0,ns,154
Parser,derived,classes.lox,,,10926000.0,ns,168
Parser,derived,classes.lox,,,11786600.0,ns,182
Parser,derived,classes.lox,,,12645100.0,ns,196
Parser,derived,classes.lox,,,13597500.0,ns,210
Parser,derived,classes.lox,,,14605000.0,ns,224
Parser,derived,classes.lox,,,15535800.0,ns,238
Parser,derived,classes.lox,,,16602900.0,ns,252
Parser,derived,classes.lox,,,17508800.0,ns,266
Parser,derived,classes.lox,,,18181800.0,ns,280
Parser,derived,classes.lox,,,19643900.0,ns,294
Parser,derived,classes.lox,,,20119700.0,ns,308
Parser,derived,classes.lox,,,21129900.0,ns,322
Parser,derived,classes.lox,,,21873800.0,ns,336
Parser,derived,classes.lox,,,23455800.0,ns,350
Parser,derived,classes.lox,,,24358000.0,ns,364
Parser,derived,classes.lox,,,24939100.0,ns,378
Parser,derived,classes.lox,,,25977400.0,ns,392
Parser,derived,classes.lox,,,27903300.0,ns,406
Parser,derived,classes.lox,,,27726400.0,ns,420
Parser,derived,classes.lox,,,28027500.0,ns,434
Parser,derived,classes.lox,,,33739200.0,ns,448
Parser,derived,classes.lox,,,30852600.0,ns,462
Parser,derived,classes.lox,,,34115700.0,ns,476
Parser,derived,classes.lox,,,33320700.0,ns,490
Parser,derived,classes.lox,,,36878800.0,ns,504
Parser,derived,classes.lox,,,34744200.0,ns,518
Parser,derived,classes.lox,,,34498800.0,ns,532
Parser,derived,classes.lox,,,35721300.0,ns,546
Parser,derived,classes.lox,,,36622600.0,ns,560
Parser,derived,classes.lox,,,37550000.0,ns,574
Parser,derived,classes.lox,,,38578700.0,ns,588
Parser,derived,classes.lox,,,39171900.0,ns,602
Parser,derived,classes.lox,,,40905600.0,ns,616
Parser,derived,classes.lox,,,41663700.0,ns,630
Parser,derived,classes.lox,,,41640800.0,ns,644
Parser,derived,classes.lox,,,43931000.0,ns,658
Parser,derived,classes.lox,,,44896500.0,ns,672
Parser,derived,classes.lox,,,45574900.0,ns,686
Parser,derived,classes.lox,,,45503200.0,ns,700
Parser,derived,classes.lox,,,46611400.0,ns,714
Parser,derived,classes.lox,,,47479100.0,ns,728
Parser,derived,classes.lox,,,48518300.0,ns,742
Parser,derived,classes.lox,,,49059700.0,ns,756
Parser,derived,classes.lox,,,50430200.0,ns,770
Parser,derived,classes.lox,,,51122400.0,ns,784
Parser,derived,classes.lox,,,51553000.0,ns,798
Parser,derived,classes.lox,,,52852500.0,ns,812
Parser,derived,classes.lox,,,54363900.0,ns,826
Parser,derived,classes.lox,,,54771600.0,ns,840
Parser,derived,classes.lox,,,56068200.0,ns,854
Parser,derived,classes.lox,,,57550900.0,ns,868
Parser,derived,classes.lox,,,61601900.0,ns,882
Parser,derived,classes.lox,,,59401100.0,ns,896
Parser,derived,classes.lox,,,62796300.0,ns,910
Parser,derived,classes.lox,,,61204300.0,ns,924
Parser,derived,classes.lox,,,64175100.0,ns,938
Parser,derived,classes.lox,,,63539900.0,ns,952
Parser,derived,classes.lox,,,64092200.0,ns,966
Parser,derived,classes.lox,,,64741000.0,ns,980
Parser,derived,classes.lox,,,65565200.0,ns,994
Parser,derived,classes.lox,,,67303900.0,ns,1008
Parser,derived,classes.lox,,,66917700.0,ns,1022
Parser,derived,classes.lox,,,68752400.0,ns,1036
Parser,derived,classes.lox,,,69188800.0,ns,1050
Parser,derived,classes.lox,,,70269400.0,ns,1064
Parser,derived,classes.lox,,,72114000.0,ns,1078
Parser,derived,classes.lox,,,73762700.0,ns,1092
Parser,derived,classes.lox,,,74173500.0,ns,1106
Parser,derived,classes.lox,,,76056700.0,ns,1120
Parser,derived,classes.lox,,,76691500.0,ns,1134
Parser,derived,classes.lox,,,75376100.0,ns,1148
Parser,derived,classes.lox,,,77059100.0,ns,1162
Parser,derived,classes.lox,,,77124300.0,ns,1176
Parser,derived,classes.lox,,,78286700.0,ns,1190
Parser,derived,classes.lox,,,79129000.0,ns,1204
Parser,derived,classes.lox,,,80004800.0,ns,1218
Parser,derived,classes.lox,,,82078400.0,ns,1232
Parser,derived,classes.lox,,,82090000.0,ns,1246
Parser,derived,classes.lox,,,82517200.0,ns,1260
Parser,derived,classes.lox,,,83328700.0,ns,1274
Parser,derived,classes.lox,,,85500400.0,ns,1288
Parser,derived,classes.lox,,,85911100.0,ns,1302
Parser,derived,classes.lox,,,86681000.0,ns,1316
Parser,derived,classes.lox,,,88737200.0,ns,1330
Parser,derived,classes.lox,,,88602700.0,ns,1344
Parser,derived,classes.lox,,,92496100.0,ns,1358
Parser,derived,classes.lox,,,90699800.0,ns,1372
Parser,derived,classes.lox,,,91279800.0,ns,1386
Parser,derived,classes.lox,,,92995600.0,ns,1400
