group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,derived,counter.lox,,,1015800.0,ns,54
Parser,derived,counter.lox,,,1787800.0,ns,108
Parser,derived,counter.lox,,,2648300.0,ns,162
Parser,derived,counter.lox,,,3546600.0,ns,216
Parser,derived,counter.lox,,,4482100.0,ns,270
Parser,derived,counter.lox,,,5420000.0,ns,324
Parser,derived,counter.lox,,,6332700.0,ns,378
Parser,derived,counter.lox,,,7409000.0,ns,432
Parser,derived,counter.lox,,,8147600.0,ns,486
Parser,derived,counter.lox,,,9065000.0,ns,540
Parser,derived,counter.lox,,,9948200.0,ns,594
Parser,derived,counter.lox,,,10825500.0,ns,648
Parser,derived,counter.lox,,,11758400.0,ns,702
Parser,derived,counter.lox,,,12821000.0,ns,756
Parser,derived,counter.lox,,,13545200.0,ns,810
Parser,derived,counter.lox,,,14398400.0,ns,864
Parser,derived,counter.lox,,,15323100.0,ns,918
Parser,derived,counter.lox,,,16267400.0,ns,972
Parser,derived,counter.lox,,,17236100.0,ns,1026
Parser,derived,counter.lox,,,17975300.0,ns,1080
Parser,derived,counter.lox,,,19028900.0,ns,1134
Parser,derived,counter.lox,,,19858600.0,ns,1188
Parser,derived,counter.lox,,,20690800.0,ns,1242
Parser,derived,counter.lox,,,21631600.0,ns,1296
Parser,derived,counter.lox,,,22544100.0,ns,1350
Parser,derived,counter.lox,,,23311800.0,ns,1404
Parser,derived,counter.lox,,,24320300.0,ns,1458
Parser,derived,counter.lox,,,25298700.0,ns,1512
Parser,derived,counter.lox,,,26099700.0,ns,1566
Parser,derived,counter.lox,,,27546400.0,ns,1620
Parser,derived,counter.lox,,,28192800.0,ns,1674
Parser,derived,counter.lox,,,29066700.0,ns,1728
Parser,derived,counter.lox,,,29721200.0,ns,1782
Parser,derived,counter.lox,,,30806500.0,ns,1836
Parser,derived,counter.lox,,,31447100.0,ns,1890
Parser,derived,counter.lox,,,32485600.0,ns,1944
Parser,derived,counter.lox,,,36521900.0,ns,1998
Parser,derived,counter.lox,,,34370700.0,ns,2052
Parser,derived,counter.lox,,,35080400.0,ns,2106
Parser,derived,counter.lox,,,36008200.0,ns,2160
Parser,derived,counter.lox,,,36635300.0,ns,2214
Parser,derived,counter.lox,,,37706900.0,ns,2268
Parser,derived,counter.lox,,,38437900.0,ns,2322
Parser,derived,counter.lox,,,39222100.0,ns,2376
Parser,derived,counter.lox,,,40404000.0,ns,2430
Parser,derived,counter.lox,,,41183800.0,ns,2484
Parser,derived,counter.lox,,,42084100.0,ns,2538
Parser,derived,counter.lox,,,43047600.0,ns,2592
Parser,derived,counter.lox,,,43881300.0,ns,2646
Parser,derived,counter.lox,,,44903400.0,ns,2700
Parser,derived,counter.lox,,,46346700.0,ns,2754
Parser,derived,counter.lox,,,47274900.0,ns,2808
Parser,derived,counter.lox,,,48085600.0,ns,2862
Parser,derived,counter.lox,,,48784200.0,ns,2916
Parser,derived,counter.lox,,,49758400.0,ns,2970
Parser,derived,counter.lox,,,51417000.0,ns,3024
Parser,derived,counter.lox,,,51703300.0,ns,3078
Parser,derived,counter.lox,,,52300300.0,ns,3132
Parser,derived,counter.lox,,,52991400.0,ns,3186
Parser,derived,counter.lox,,,53359600.0,ns,3240
Parser,derived,counter.lox,,,53734500.0,ns,3294
Parser,derived,counter.lox,,,54838800.0,ns,3348
Parser,derived,counter.lox,,,55639500.0,ns,3402
Parser,derived,counter.lox,,,56478500.0,ns,3456
Parser,derived,counter.lox,,,57457600.0,ns,3510
Parser,derived,counter.lox,,,58015900.0,ns,3564
Parser,derived,counter.lox,,,58911600.0,ns,3618
Parser,derived,counter.lox,,,59904500.0,ns,3672
Parser,derived,counter.lox,,,60653500.0,ns,3726
Parser,derived,counter.lox,,,62194300.0,ns,3780
Parser,derived,counter.lox,,,62542500.0,ns,3834
Parser,derived,counter.lox,,,63265700.0,ns,3888
Parser,derived,counter.lox,,,64265900.0,ns,3942
Parser,derived,counter.lox,,,65746000.0,ns,3996
Parser,derived,counter.lox,,,66189100.0,ns,4050
Parser,derived,counter.lox,,,67273400.0,ns,4104
Parser,derived,counter.lox,,,67868300.0,ns,4158
Parser,derived,counter.lox,,,68697500.0,ns,4212
Parser,derived,counter.lox,,,69237900.0,ns,4266
Parser,derived,counter.lox,,,70210500.0,ns,4320
Parser,derived,counter.lox,,,70996400.0,ns,4374
Parser,derived,counter.lox,,,72135500.0,ns,4428
Parser,derived,counter.lox,,,73094700.0,ns,4482
Parser,derived,counter.lox,,,74471300.0,ns,4536
Parser,derived,counter.lox,,,74796700.0,ns,4590
Parser,derived,counter.lox,,,75878500.0,ns,4644
Parser,derived,counter.lox,,,76978600.0,ns,4698
Parser,derived,counter.lox,,,78180300.0,ns,4752
Parser,derived,counter.lox,,,83208300.0,ns,4806
Parser,derived,counter.lox,,,80652500.0,ns,4860
Parser,derived,counter.lox,,,80972600.0,ns,4914
Parser,derived,counter.lox,,,82172900.0,ns,4968
Parser,derived,counter.lox,,,82855100.0,ns,5022
Parser,derived,counter.lox,,,83953600.0,ns,5076
Parser,derived,counter.lox,,,84730800.0,ns,5130
Parser,derived,counter.lox,,,85733100.0,ns,5184
Parser,derived,counter.lox,,,87222200.0,ns,5238
Parser,derived,counter.lox,,,87441600.0,ns,5292
Parser,derived,counter.lox,,,88590800.0,ns,5346
Parser,derived,counter.lox,,,90059200.0,ns,5400
