group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,derived,fib.lox,,,945300.0,ns,40
Parser,derived,fib.lox,,,1815800.0,ns,80
Parser,derived,fib.lox,,,2753900.0,ns,120
Parser,derived,fib.lox,,,3666500.0,ns,160
Parser,derived,fib.lox,,,4509800.0,ns,200
Parser,derived,fib.lox,,,5412800.0,ns,240
Parser,derived,fib.lox,,,6389200.0,ns,280
Parser,derived,fib.lox,,,7309600.0,ns,320
Parser,derived,fib.lox,,,8289400.0,ns,360
Parser,derived,fib.lox,,,9162200.0,ns,400
Parser,derived,fib.lox,,,9988600.0,ns,440
Parser,derived,fib.lox,,,10837600.0,ns,480
Parser,derived,fib.lox,,,11802600.0,ns,520
Parser,derived,fib.lox,,,12710100.0,ns,560
Parser,derived,fib.lox,,,13854900.0,ns,600
Parser,derived,fib.lox,,,14462100.0,ns,640
Parser,derived,fib.lox,,,15384100.0,ns,680
Parser,derived,fib.lox,,,16130300.0,ns,720
Parser,derived,fib.lox,,,17443500.0,ns,760
Parser,derived,fib.lox,,,18082400.0,ns,800
Parser,derived,fib.lox,,,18981800.0,ns,840
Parser,derived,fib.lox,,,20234500.0,ns,880
Parser,derived,fib.lox,,,20828200.0,ns,920
Parser,derived,fib.lox,,,21560900.0,ns,960
Parser,derived,fib.lox,,,22578500.0,ns,1000
Parser,derived,fib.lox,,,23267100.0,ns,1040
Parser,derived,fib.lox,,,24321700.0,ns,1080
Parser,derived,fib.lox,,,25458700.0,ns,1120
Parser,derived,fib.lox,,,26644000.0,ns,1160
Parser,derived,fib.lox,,,27116900.0,ns,1200
Parser,derived,fib.lox,,,27655300.0,ns,1240
Parser,derived,fib.lox,,,29006200.0,ns,1280
Parser,derived,fib.lox,,,29827700.0,ns,1320
Parser,derived,fib.lox,,,30788900.0,ns,1360
Parser,derived,fib.lox,,,31209600.0,ns,1400
Parser,derived,fib.lox,,,31996700.0,ns,1440
Parser,derived,fib.lox,,,32965100.0,ns,1480
Parser,derived,fib.lox,,,34167600.0,ns,1520
Parser,derived,fib.lox,,,34778900.0,ns,1560
Parser,derived,fib.lox,,,35667300.0,ns,1600
Parser,derived,fib.lox,,,36582700.0,ns,1640
Parser,derived,fib.lox,,,37840900.0,ns,1680
Parser,derived,fib.lox,,,38593500.0,ns,1720
Parser,derived,fib.lox,,,39181700.0,ns,1760
Parser,derived,fib.lox,,,39980200.0,ns,1800
Parser,derived,fib.lox,,,40775500.0,ns,1840
Parser,derived,fib.lox,,,41774300.0,ns,1880
Parser,derived,fib.lox,,,42595300.0,ns,1920
Parser,derived,fib.lox,,,43506600.0,ns,1960
Parser,derived,fib.lox,,,44575500.0,ns,2000
Parser,derived,fib.lox,,,45606300.0,ns,2040
Parser,derived,fib.lox,,,47918100.0,ns,2080
Parser,derived,fib.lox,,,46760800.0,ns,2120
Parser,derived,fib.lox,,,47752100.0,ns,2160
Parser,derived,fib.lox,,,48739700.0,ns,2200
Parser,derived,fib.lox,,,49254300.0,ns,2240
Parser,derived,fib.lox,,,51769900.0,ns,2280
Parser,derived,fib.lox,,,51683300.0,ns,2320
Parser,derived,fib.lox,,,53221600.0,ns,2360
Parser,derived,fib.lox,,,53431000.0,ns,2400
Parser,derived,fib.lox,,,54135600.0,ns,2440
Parser,derived,fib.lox,,,54716400.0,ns,2480
Parser,derived,fib.lox,,,55154400.0,ns,2520
Parser,derived,fib.lox,,,56303400.0,ns,2560
Parser,derived,fib.lox,,,56134400.0,ns,2600
Parser,derived,fib.lox,,,57465500.0,ns,2640
Parser,derived,fib.lox,,,59475700.0,ns,2680
Parser,derived,fib.lox,,,59051800.0,ns,2720
Parser,derived,fib.lox,,,60998300.0,ns,2760
Parser,derived,fib.lox,,,62254600.0,ns,2800
Parser,derived,fib.lox,,,61578600.0,ns,2840
Parser,derived,fib.lox,,,62621700.0,ns,2880
Parser,derived,fib.lox,,,64777900.0,ns,2920
Parser,derived,fib.lox,,,66920400.0,ns,2960
Parser,derived,fib.lox,,,67094600.0,ns,3000
Parser,derived,fib.lox,,,67568700.0,ns,3040
Parser,derived,fib.lox,,,68191300.0,ns,3080
Parser,derived,fib.lox,,,69562100.0,ns,3120
Parser,derived,fib.lox,,,70244500.0,ns,3160
Parser,derived,fib.lox,,,70039300.0,ns,3200
Parser,derived,fib.lox,,,71939900.0,ns,3240
Parser,derived,fib.lox,,,72616900.0,ns,3280
Parser,derived,fib.lox,,,73250300.0,ns,3320
Parser,derived,fib.lox,,,74108100.0,ns,3360
Parser,derived,fib.lox,,,76490500.0,ns,3400
Parser,derived,fib.lox,,,77224400.0,ns,3440
Parser,derived,fib.lox,,,77474300.0,ns,3480
Parser,derived,fib.lox,,,79350900.0,ns,3520
Parser,derived,fib.lox,,,80131300.0,ns,3560
Parser,derived,fib.lox,,,78633900.0,ns,3600
Parser,derived,fib.lox,,,80133000.0,ns,3640
Parser,derived,fib.lox,,,80664700.0,ns,3680
Parser,derived,fib.lox,,,81750200.0,ns,3720
Parser,derived,fib.lox,,,83076600.0,ns,3760
Parser,derived,fib.lox,,,84097400.0,ns,3800
Parser,derived,fib.lox,,,85419700.0,ns,3840
Parser,derived,fib.lox,,,85960200.0,ns,3880
Parser,derived,fib.lox,,,87150100.0,ns,3920
Parser,derived,fib.lox,,,87342000.0,ns,3960
Parser,derived,fib.lox,,,90095900.0,ns,4000
