group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,derived,fizzbuzz1.lox,,,952400.0,ns,17
Parser,derived,fizzbuzz1.lox,,,1827200.0,ns,34
Parser,derived,fizzbuzz1.lox,,,2820400.0,ns,51
Parser,derived,fizzbuzz1.lox,,,3643700.0,ns,68
Parser,derived,fizzbuzz1.lox,,,4671400.0,ns,85
Parser,derived,fizzbuzz1.lox,,,5618400.0,ns,102
Parser,derived,fizzbuzz1.lox,,,7016500.0,ns,119
Parser,derived,fizzbuzz1.lox,,,8042800.0,ns,136
Parser,derived,fizzbuzz1.lox,,,8238800.0,ns,153
Parser,derived,fizzbuzz1.lox,,,9137400.0,ns,170
Parser,derived,fizzbuzz1.lox,,,10049100.0,ns,187
Parser,derived,fizzbuzz1.lox,,,11821000.0,ns,204
Parser,derived,fizzbuzz1.lox,,,12471100.0,ns,221
Parser,derived,fizzbuzz1.lox,,,12813000.0,ns,238
Parser,derived,fizzbuzz1.lox,,,13822300.0,ns,255
Parser,derived,fizzbuzz1.lox,,,16029600.0,ns,272
Parser,derived,fizzbuzz1.lox,,,15570200.0,ns,289
Parser,derived,fizzbuzz1.lox,,,17793300.0,ns,306
Parser,derived,fizzbuzz1.lox,,,17519500.0,ns,323
Parser,derived,fizzbuzz1.lox,,,19652800.0,ns,340
Parser,derived,fizzbuzz1.lox,,,19447500.0,ns,357
Parser,derived,fizzbuzz1.lox,,,20579300.0,ns,374
Parser,derived,fizzbuzz1.lox,,,22673100.0,ns,391
Parser,derived,fizzbuzz1.lox,,,22787200.0,ns,408
Parser,derived,fizzbuzz1.lox,,,23020200.0,ns,425
Parser,derived,fizzbuzz1.lox,,,24084000.0,ns,442
Parser,derived,fizzbuzz1.lox,,,24984600.0,ns,459
Parser,derived,fizzbuzz1.lox,,,25786700.0,ns,476
Parser,derived,fizzbuzz1.lox,,,27114500.0,ns,493
Parser,derived,fizzbuzz1.lox,,,27308700.0,ns,510
Parser,derived,fizzbuzz1.lox,,,28104500.0,ns,527
Parser,derived,fizzbuzz1.lox,,,29288400.0,ns,544
Parser,derived,fizzbuzz1.lox,,,30769400.0,ns,561
Parser,derived,fizzbuzz1.lox,,,31489500.0,ns,578
