group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,derived,fizzbuzz2.lox,,,929600.0,ns,17
Parser,derived,fizzbuzz2.lox,,,1812600.0,ns,34
Parser,derived,fizzbuzz2.lox,,,2671600.0,ns,51
Parser,derived,fizzbuzz2.lox,,,3670600.0,ns,68
Parser,derived,fizzbuzz2.lox,,,4498600.0,ns,85
Parser,derived,fizzbuzz2.lox,,,5374800.0,ns,102
Parser,derived,fizzbuzz2.lox,,,6355800.0,ns,119
Parser,derived,fizzbuzz2.lox,,,7182600.0,ns,136
Parser,derived,fizzbuzz2.lox,,,8846300.0,ns,153
Parser,derived,fizzbuzz2.lox,,,9119800.0,ns,170
Parser,derived,fizzbuzz2.lox,,,9916000.0,ns,187
Parser,derived,fizzbuzz2.lox,,,10861500.0,ns,204
Parser,derived,fizzbuzz2.lox,,,11898800.0,ns,221
Parser,derived,fizzbuzz2.lox,,,13848900.0,ns,238
Parser,derived,fizzbuzz2.lox,,,13430400.0,ns,255
Parser,derived,fizzbuzz2.lox,,,14352000.0,ns,272
Parser,derived,fizzbuzz2.lox,,,17120700.0,ns,289
Parser,derived,fizzbuzz2.lox,,,16465400.0,ns,306
Parser,derived,fizzbuzz2.lox,,,17036800.0,ns,323
Parser,derived,fizzbuzz2.lox,,,18142400.0,ns,340
Parser,derived,fizzbuzz2.lox,,,19408000.0,ns,357
Parser,derived,fizzbuzz2.lox,,,19632100.0,ns,374
Parser,derived,fizzbuzz2.lox,,,22347200.0,ns,391
Parser,derived,fizzbuzz2.lox,,,21405300.0,ns,408
Parser,derived,fizzbuzz2.lox,,,22254500.0,ns,425
Parser,derived,fizzbuzz2.lox,,,23573000.0,ns,442
Parser,derived,fizzbuzz2.lox,,,24328100.0,ns,459
Parser,derived,fizzbuzz2.lox,,,25537100.0,ns,476
Parser,derived,fizzbuzz2.lox,,,26546500.0,ns,493
Parser,derived,fizzbuzz2.lox,,,27255200.0,ns,510
Parser,derived,fizzbuzz2.lox,,,28723700.0,ns,527
Parser,derived,fizzbuzz2.lox,,,28461900.0,ns,544
Parser,derived,fizzbuzz2.lox,,,30324900.0,ns,561
Parser,derived,fizzbuzz2.lox,,,30161600.0,ns,578
Parser,derived,fizzbuzz2.lox,,,31969000.0,ns,595
Parser,derived,fizzbuzz2.lox,,,31909200.0,ns,612
Parser,derived,fizzbuzz2.lox,,,33731800.0,ns,629
Parser,derived,fizzbuzz2.lox,,,34577700.0,ns,646
Parser,derived,fizzbuzz2.lox,,,35074900.0,ns,663
Parser,derived,fizzbuzz2.lox,,,36208100.0,ns,680
Parser,derived,fizzbuzz2.lox,,,36948900.0,ns,697
Parser,derived,fizzbuzz2.lox,,,37778200.0,ns,714
Parser,derived,fizzbuzz2.lox,,,38966900.0,ns,731
Parser,derived,fizzbuzz2.lox,,,40041000.0,ns,748
Parser,derived,fizzbuzz2.lox,,,40386300.0,ns,765
Parser,derived,fizzbuzz2.lox,,,41523000.0,ns,782
Parser,derived,fizzbuzz2.lox,,,42670200.0,ns,799
Parser,derived,fizzbuzz2.lox,,,42869000.0,ns,816
Parser,derived,fizzbuzz2.lox,,,44002100.0,ns,833
Parser,derived,fizzbuzz2.lox,,,45570400.0,ns,850
Parser,derived,fizzbuzz2.lox,,,45124800.0,ns,867
Parser,derived,fizzbuzz2.lox,,,46029000.0,ns,884
Parser,derived,fizzbuzz2.lox,,,49184000.0,ns,901
Parser,derived,fizzbuzz2.lox,,,49752000.0,ns,918
Parser,derived,fizzbuzz2.lox,,,49197100.0,ns,935
Parser,derived,fizzbuzz2.lox,,,50326300.0,ns,952
Parser,derived,fizzbuzz2.lox,,,51672400.0,ns,969
Parser,derived,fizzbuzz2.lox,,,52637500.0,ns,986
Parser,derived,fizzbuzz2.lox,,,52568500.0,ns,1003
Parser,derived,fizzbuzz2.lox,,,56247300.0,ns,1020
Parser,derived,fizzbuzz2.lox,,,54988300.0,ns,1037
Parser,derived,fizzbuzz2.lox,,,57416400.0,ns,1054
Parser,derived,fizzbuzz2.lox,,,57652700.0,ns,1071
Parser,derived,fizzbuzz2.lox,,,57413300.0,ns,1088
Parser,derived,fizzbuzz2.lox,,,58925700.0,ns,1105
Parser,derived,fizzbuzz2.lox,,,59642000.0,ns,1122
Parser,derived,fizzbuzz2.lox,,,59545400.0,ns,1139
Parser,derived,fizzbuzz2.lox,,,61141300.0,ns,1156
Parser,derived,fizzbuzz2.lox,,,61364100.0,ns,1173
Parser,derived,fizzbuzz2.lox,,,62216300.0,ns,1190
Parser,derived,fizzbuzz2.lox,,,64132200.0,ns,1207
Parser,derived,fizzbuzz2.lox,,,65185000.0,ns,1224
Parser,derived,fizzbuzz2.lox,,,66285700.0,ns,1241
Parser,derived,fizzbuzz2.lox,,,66982200.0,ns,1258
Parser,derived,fizzbuzz2.lox,,,67961300.0,ns,1275
Parser,derived,fizzbuzz2.lox,,,69337800.0,ns,1292
Parser,derived,fizzbuzz2.lox,,,69941700.0,ns,1309
Parser,derived,fizzbuzz2.lox,,,71085700.0,ns,1326
Parser,derived,fizzbuzz2.lox,,,71732900.0,ns,1343
Parser,derived,fizzbuzz2.lox,,,72150700.0,ns,1360
Parser,derived,fizzbuzz2.lox,,,72131300.0,ns,1377
Parser,derived,fizzbuzz2.lox,,,74815500.0,ns,1394
Parser,derived,fizzbuzz2.lox,,,74989900.0,ns,1411
Parser,derived,fizzbuzz2.lox,,,74582200.0,ns,1428
Parser,derived,fizzbuzz2.lox,,,77307700.0,ns,1445
Parser,derived,fizzbuzz2.lox,,,77094100.0,ns,1462
Parser,derived,fizzbuzz2.lox,,,78673800.0,ns,1479
Parser,derived,fizzbuzz2.lox,,,78655800.0,ns,1496
Parser,derived,fizzbuzz2.lox,,,80757700.0,ns,1513
Parser,derived,fizzbuzz2.lox,,,82795400.0,ns,1530
Parser,derived,fizzbuzz2.lox,,,82256900.0,ns,1547
Parser,derived,fizzbuzz2.lox,,,82753100.0,ns,1564
Parser,derived,fizzbuzz2.lox,,,83205900.0,ns,1581
Parser,derived,fizzbuzz2.lox,,,84763800.0,ns,1598
Parser,derived,fizzbuzz2.lox,,,84845100.0,ns,1615
Parser,derived,fizzbuzz2.lox,,,87556400.0,ns,1632
Parser,derived,fizzbuzz2.lox,,,87549900.0,ns,1649
Parser,derived,fizzbuzz2.lox,,,88230400.0,ns,1666
Parser,derived,fizzbuzz2.lox,,,89242800.0,ns,1683
Parser,derived,fizzbuzz2.lox,,,89970600.0,ns,1700
