group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,derived,forloop.lox,,,974800.0,ns,153
Parser,derived,forloop.lox,,,1859200.0,ns,306
Parser,derived,forloop.lox,,,2515300.0,ns,459
Parser,derived,forloop.lox,,,3367900.0,ns,612
Parser,derived,forloop.lox,,,4441300.0,ns,765
Parser,derived,forloop.lox,,,5177200.0,ns,918
Parser,derived,forloop.lox,,,6227200.0,ns,1071
Parser,derived,forloop.lox,,,6883000.0,ns,1224
Parser,derived,forloop.lox,,,7732000.0,ns,1377
Parser,derived,forloop.lox,,,8563100.0,ns,1530
Parser,derived,forloop.lox,,,9544500.0,ns,1683
Parser,derived,forloop.lox,,,11040100.0,ns,1836
Parser,derived,forloop.lox,,,11567900.0,ns,1989
Parser,derived,forloop.lox,,,11915900.0,ns,2142
Parser,derived,forloop.lox,,,12922400.0,ns,2295
Parser,derived,forloop.lox,,,13606700.0,ns,2448
Parser,derived,forloop.lox,,,15985500.0,ns,2601
Parser,derived,forloop.lox,,,15476400.0,ns,2754
Parser,derived,forloop.lox,,,16328100.0,ns,2907
Parser,derived,forloop.lox,,,17203400.0,ns,3060
Parser,derived,forloop.lox,,,17973100.0,ns,3213
Parser,derived,forloop.lox,,,18947400.0,ns,3366
Parser,derived,forloop.lox,,,19845100.0,ns,3519
Parser,derived,forloop.lox,,,21100600.0,ns,3672
Parser,derived,forloop.lox,,,21425300.0,ns,3825
Parser,derived,forloop.lox,,,22419100.0,ns,3978
Parser,derived,forloop.lox,,,23326200.0,ns,4131
Parser,derived,forloop.lox,,,24005800.0,ns,4284
Parser,derived,forloop.lox,,,24680900.0,ns,4437
Parser,derived,forloop.lox,,,26286400.0,ns,4590
Parser,derived,forloop.lox,,,26622000.0,ns,4743
Parser,derived,forloop.lox,,,27779400.0,ns,4896
Parser,derived,forloop.lox,,,28510600.0,ns,5049
Parser,derived,forloop.lox,,,31030500.0,ns,5202
Parser,derived,forloop.lox,,,29966400.0,ns,5355
Parser,derived,forloop.lox,,,31047400.0,ns,5508
Parser,derived,forloop.lox,,,33061400.0,ns,5661
Parser,derived,forloop.lox,,,34689400.0,ns,5814
Parser,derived,forloop.lox,,,33969900.0,ns,5967
Parser,derived,forloop.lox,,,34290000.0,ns,6120
Parser,derived,forloop.lox,,,36361500.0,ns,6273
Parser,derived,forloop.lox,,,37661300.0,ns,6426
Parser,derived,forloop.lox,,,37906500.0,ns,6579
Parser,derived,forloop.lox,,,37856000.0,ns,6732
Parser,derived,forloop.lox,,,38576500.0,ns,6885
Parser,derived,forloop.lox,,,40450300.0,ns,7038
Parser,derived,forloop.lox,,,41194300.0,ns,7191
Parser,derived,forloop.lox,,,41537500.0,ns,7344
Parser,derived,forloop.lox,,,42630600.0,ns,7497
Parser,derived,forloop.lox,,,43552500.0,ns,7650
Parser,derived,forloop.lox,,,43979400.0,ns,7803
Parser,derived,forloop.lox,,,45059200.0,ns,7956
Parser,derived,forloop.lox,,,46070300.0,ns,8109
Parser,derived,forloop.lox,,,47103300.0,ns,8262
Parser,derived,forloop.lox,,,47843800.0,ns,8415
