group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,derived,fun-expressions.lox,,,919100.0,ns,50
Parser,derived,fun-expressions.lox,,,1828600.0,ns,100
Parser,derived,fun-expressions.lox,,,2619000.0,ns,150
Parser,derived,fun-expressions.lox,,,3658300.0,ns,200
Parser,derived,fun-expressions.lox,,,4559100.0,ns,250
Parser,derived,fun-expressions.lox,,,5479100.0,ns,300
Parser,derived,fun-expressions.lox,,,6262900.0,ns,350
Parser,derived,fun-expressions.lox,,,7298200.0,ns,400
Parser,derived,fun-expressions.lox,,,8112100.0,ns,450
Parser,derived,fun-expressions.lox,,,8781300.0,ns,500
Parser,derived,fun-expressions.lox,,,9408600.0,ns,550
Parser,derived,fun-expressions.lox,,,10158500.0,ns,600
Parser,derived,fun-expressions.lox,,,10966800.0,ns,650
Parser,derived,fun-expressions.lox,,,11399800.0,ns,700
Parser,derived,fun-expressions.lox,,,12191800.0,ns,750
Parser,derived,fun-expressions.lox,,,12994600.0,ns,800
Parser,derived,fun-expressions.lox,,,13973100.0,ns,850
Parser,derived,fun-expressions.lox,,,14808100.0,ns,900
Parser,derived,fun-expressions.lox,,,15445400.0,ns,950
Parser,derived,fun-expressions.lox,,,16302300.0,ns,1000
Parser,derived,fun-expressions.lox,,,17091800.0,ns,1050
Parser,derived,fun-expressions.lox,,,18016800.0,ns,1100
Parser,derived,fun-expressions.lox,,,18692700.0,ns,1150
Parser,derived,fun-expressions.lox,,,19516900.0,ns,1200
Parser,derived,fun-expressions.lox,,,20378900.0,ns,1250
Parser,derived,fun-expressions.lox,,,21191200.0,ns,1300
Parser,derived,fun-expressions.lox,,,22115600.0,ns,1350
Parser,derived,fun-expressions.lox,,,22810400.0,ns,1400
Parser,derived,fun-expressions.lox,,,24523800.0,ns,1450
Parser,derived,fun-expressions.lox,,,26105300.0,ns,1500
Parser,derived,fun-expressions.lox,,,26857700.0,ns,1550
Parser,derived,fun-expressions.lox,,,27479600.0,ns,1600
Parser,derived,fun-expressions.lox,,,27499100.0,ns,1650
Parser,derived,fun-expressions.lox,,,27740300.0,ns,1700
Parser,derived,fun-expressions.lox,,,28350100.0,ns,1750
Parser,derived,fun-expressions.lox,,,29285600.0,ns,1800
Parser,derived,fun-expressions.lox,,,30113200.0,ns,1850
Parser,derived,fun-expressions.lox,,,30905400.0,ns,1900
Parser,derived,fun-expressions.lox,,,31660300.0,ns,1950
Parser,derived,fun-expressions.lox,,,35916400.0,ns,2000
Parser,derived,fun-expressions.lox,,,33462200.0,ns,2050
Parser,derived,fun-expressions.lox,,,34146900.0,ns,2100
Parser,derived,fun-expressions.lox,,,34963600.0,ns,2150
Parser,derived,fun-expressions.lox,,,35724800.0,ns,2200
Parser,derived,fun-expressions.lox,,,36495200.0,ns,2250
Parser,derived,fun-expressions.lox,,,37289300.0,ns,2300
Parser,derived,fun-expressions.lox,,,38302900.0,ns,2350
Parser,derived,fun-expressions.lox,,,38913600.0,ns,2400
Parser,derived,fun-expressions.lox,,,39812700.0,ns,2450
Parser,derived,fun-expressions.lox,,,40694000.0,ns,2500
Parser,derived,fun-expressions.lox,,,41495400.0,ns,2550
Parser,derived,fun-expressions.lox,,,42548100.0,ns,2600
Parser,derived,fun-expressions.lox,,,43785500.0,ns,2650
Parser,derived,fun-expressions.lox,,,44019700.0,ns,2700
Parser,derived,fun-expressions.lox,,,44869200.0,ns,2750
Parser,derived,fun-expressions.lox,,,45524300.0,ns,2800
Parser,derived,fun-expressions.lox,,,46432700.0,ns,2850
Parser,derived,fun-expressions.lox,,,47492100.0,ns,2900
Parser,derived,fun-expressions.lox,,,48064500.0,ns,2950
Parser,derived,fun-expressions.lox,,,52428500.0,ns,3000
Parser,derived,fun-expressions.lox,,,53367400.0,ns,3050
Parser,derived,fun-expressions.lox,,,54022900.0,ns,3100
Parser,derived,fun-expressions.lox,,,53225700.0,ns,3150
Parser,derived,fun-expressions.lox,,,58651100.0,ns,3200
Parser,derived,fun-expressions.lox,,,59062300.0,ns,3250
Parser,derived,fun-expressions.lox,,,57634600.0,ns,3300
Parser,derived,fun-expressions.lox,,,59459700.0,ns,3350
Parser,derived,fun-expressions.lox,,,55732700.0,ns,3400
Parser,derived,fun-expressions.lox,,,55739500.0,ns,3450
Parser,derived,fun-expressions.lox,,,57472100.0,ns,3500
Parser,derived,fun-expressions.lox,,,57892400.0,ns,3550
Parser,derived,fun-expressions.lox,,,58637800.0,ns,3600
Parser,derived,fun-expressions.lox,,,58507000.0,ns,3650
Parser,derived,fun-expressions.lox,,,59422700.0,ns,3700
Parser,derived,fun-expressions.lox,,,60391300.0,ns,3750
Parser,derived,fun-expressions.lox,,,62080200.0,ns,3800
Parser,derived,fun-expressions.lox,,,62585000.0,ns,3850
Parser,derived,fun-expressions.lox,,,63536200.0,ns,3900
Parser,derived,fun-expressions.lox,,,64033400.0,ns,3950
Parser,derived,fun-expressions.lox,,,67729900.0,ns,4000
Parser,derived,fun-expressions.lox,,,65262700.0,ns,4050
Parser,derived,fun-expressions.lox,,,65917700.0,ns,4100
Parser,derived,fun-expressions.lox,,,66587400.0,ns,4150
Parser,derived,fun-expressions.lox,,,66917600.0,ns,4200
Parser,derived,fun-expressions.lox,,,80575800.0,ns,4250
Parser,derived,fun-expressions.lox,,,70443000.0,ns,4300
Parser,derived,fun-expressions.lox,,,70775600.0,ns,4350
Parser,derived,fun-expressions.lox,,,72016200.0,ns,4400
Parser,derived,fun-expressions.lox,,,72266100.0,ns,4450
Parser,derived,fun-expressions.lox,,,73282500.0,ns,4500
Parser,derived,fun-expressions.lox,,,73506000.0,ns,4550
Parser,derived,fun-expressions.lox,,,74539300.0,ns,4600
Parser,derived,fun-expressions.lox,,,74714300.0,ns,4650
Parser,derived,fun-expressions.lox,,,75630500.0,ns,4700
Parser,derived,fun-expressions.lox,,,75985600.0,ns,4750
Parser,derived,fun-expressions.lox,,,76945000.0,ns,4800
Parser,derived,fun-expressions.lox,,,77812200.0,ns,4850
Parser,derived,fun-expressions.lox,,,78994300.0,ns,4900
Parser,derived,fun-expressions.lox,,,80980200.0,ns,4950
Parser,derived,fun-expressions.lox,,,81539400.0,ns,5000
