group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,derived,fun.lox,,,905400.0,ns,17
Parser,derived,fun.lox,,,1701900.0,ns,34
Parser,derived,fun.lox,,,2534200.0,ns,51
Parser,derived,fun.lox,,,3421300.0,ns,68
Parser,derived,fun.lox,,,4255900.0,ns,85
Parser,derived,fun.lox,,,5146800.0,ns,102
Parser,derived,fun.lox,,,5904900.0,ns,119
Parser,derived,fun.lox,,,7011600.0,ns,136
Parser,derived,fun.lox,,,7730500.0,ns,153
Parser,derived,fun.lox,,,8690100.0,ns,170
Parser,derived,fun.lox,,,9695300.0,ns,187
Parser,derived,fun.lox,,,10627900.0,ns,204
Parser,derived,fun.lox,,,11389100.0,ns,221
Parser,derived,fun.lox,,,12269100.0,ns,238
Parser,derived,fun.lox,,,13135300.0,ns,255
Parser,derived,fun.lox,,,14010400.0,ns,272
Parser,derived,fun.lox,,,15203700.0,ns,289
Parser,derived,fun.lox,,,15633400.0,ns,306
Parser,derived,fun.lox,,,17015700.0,ns,323
Parser,derived,fun.lox,,,17947700.0,ns,340
Parser,derived,fun.lox,,,18900300.0,ns,357
Parser,derived,fun.lox,,,19277900.0,ns,374
Parser,derived,fun.lox,,,20298700.0,ns,391
Parser,derived,fun.lox,,,21431900.0,ns,408
Parser,derived,fun.lox,,,21675000.0,ns,425
Parser,derived,fun.lox,,,22910700.0,ns,442
Parser,derived,fun.lox,,,23521600.0,ns,459
Parser,derived,fun.lox,,,24194300.0,ns,476
Parser,derived,fun.lox,,,25815700.0,ns,493
Parser,derived,fun.lox,,,26258000.0,ns,510
Parser,derived,fun.lox,,,27188200.0,ns,527
Parser,derived,fun.lox,,,27478300.0,ns,544
Parser,derived,fun.lox,,,28863000.0,ns,561
Parser,derived,fun.lox,,,29524200.0,ns,578
Parser,derived,fun.lox,,,30146900.0,ns,595
Parser,derived,fun.lox,,,31705500.0,ns,612
Parser,derived,fun.lox,,,32153100.0,ns,629
Parser,derived,fun.lox,,,33512600.0,ns,646
Parser,derived,fun.lox,,,34106400.0,ns,663
Parser,derived,fun.lox,,,35464000.0,ns,680
Parser,derived,fun.lox,,,36088600.0,ns,697
Parser,derived,fun.lox,,,37282900.0,ns,714
Parser,derived,fun.lox,,,37989600.0,ns,731
Parser,derived,fun.lox,,,37933500.0,ns,748
Parser,derived,fun.lox,,,44384900.0,ns,765
Parser,derived,fun.lox,,,39572400.0,ns,782
Parser,derived,fun.lox,,,39308100.0,ns,799
Parser,derived,fun.lox,,,41467400.0,ns,816
Parser,derived,fun.lox,,,42136700.0,ns,833
Parser,derived,fun.lox,,,42991300.0,ns,850
Parser,derived,fun.lox,,,44545400.0,ns,867
Parser,derived,fun.lox,,,44662600.0,ns,884
Parser,derived,fun.lox,,,45722600.0,ns,901
Parser,derived,fun.lox,,,44670800.0,ns,918
Parser,derived,fun.lox,,,46481500.0,ns,935
Parser,derived,fun.lox,,,46456500.0,ns,952
Parser,derived,fun.lox,,,48000800.0,ns,969
Parser,derived,fun.lox,,,48001900.0,ns,986
Parser,derived,fun.lox,,,49195600.0,ns,1003
Parser,derived,fun.lox,,,51015400.0,ns,1020
Parser,derived,fun.lox,,,50921700.0,ns,1037
Parser,derived,fun.lox,,,52388500.0,ns,1054
Parser,derived,fun.lox,,,52073400.0,ns,1071
Parser,derived,fun.lox,,,52201000.0,ns,1088
Parser,derived,fun.lox,,,54197800.0,ns,1105
Parser,derived,fun.lox,,,59236100.0,ns,1122
Parser,derived,fun.lox,,,56484100.0,ns,1139
Parser,derived,fun.lox,,,58027100.0,ns,1156
Parser,derived,fun.lox,,,58780900.0,ns,1173
Parser,derived,fun.lox,,,58385700.0,ns,1190
Parser,derived,fun.lox,,,60082800.0,ns,1207
Parser,derived,fun.lox,,,59552500.0,ns,1224
Parser,derived,fun.lox,,,61477800.0,ns,1241
Parser,derived,fun.lox,,,62272300.0,ns,1258
Parser,derived,fun.lox,,,63824600.0,ns,1275
Parser,derived,fun.lox,,,63315600.0,ns,1292
Parser,derived,fun.lox,,,64958400.0,ns,1309
Parser,derived,fun.lox,,,66231700.0,ns,1326
Parser,derived,fun.lox,,,66586100.0,ns,1343
Parser,derived,fun.lox,,,66730500.0,ns,1360
Parser,derived,fun.lox,,,70646700.0,ns,1377
Parser,derived,fun.lox,,,68531600.0,ns,1394
Parser,derived,fun.lox,,,68532100.0,ns,1411
Parser,derived,fun.lox,,,69992000.0,ns,1428
Parser,derived,fun.lox,,,71281900.0,ns,1445
Parser,derived,fun.lox,,,70752000.0,ns,1462
Parser,derived,fun.lox,,,73088300.0,ns,1479
Parser,derived,fun.lox,,,72399200.0,ns,1496
Parser,derived,fun.lox,,,74570900.0,ns,1513
Parser,derived,fun.lox,,,73631800.0,ns,1530
Parser,derived,fun.lox,,,76329300.0,ns,1547
Parser,derived,fun.lox,,,75947800.0,ns,1564
Parser,derived,fun.lox,,,76381700.0,ns,1581
Parser,derived,fun.lox,,,77734300.0,ns,1598
Parser,derived,fun.lox,,,79815700.0,ns,1615
Parser,derived,fun.lox,,,78757400.0,ns,1632
Parser,derived,fun.lox,,,79401500.0,ns,1649
Parser,derived,fun.lox,,,82999100.0,ns,1666
Parser,derived,fun.lox,,,81514900.0,ns,1683
Parser,derived,fun.lox,,,81792000.0,ns,1700
