group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,derived,linked-list.lox,,,1125200.0,ns,6
Parser,derived,linked-list.lox,,,2288900.0,ns,12
Parser,derived,linked-list.lox,,,3271400.0,ns,18
Parser,derived,linked-list.lox,,,4439100.0,ns,24
Parser,derived,linked-list.lox,,,5495400.0,ns,30
Parser,derived,linked-list.lox,,,6702900.0,ns,36
Parser,derived,linked-list.lox,,,7886700.0,ns,42
Parser,derived,linked-list.lox,,,8842800.0,ns,48
Parser,derived,linked-list.lox,,,9952200.0,ns,54
Parser,derived,linked-list.lox,,,10935300.0,ns,60
Parser,derived,linked-list.lox,,,12078800.0,ns,66
Parser,derived,linked-list.lox,,,13131300.0,ns,72
Parser,derived,linked-list.lox,,,14154700.0,ns,78
Parser,derived,linked-list.lox,,,15159900.0,ns,84
Parser,derived,linked-list.lox,,,16252700.0,ns,90
Parser,derived,linked-list.lox,,,17720300.0,ns,96
Parser,derived,linked-list.lox,,,18758000.0,ns,102
Parser,derived,linked-list.lox,,,20045800.0,ns,108
Parser,derived,linked-list.lox,,,21101600.0,ns,114
Parser,derived,linked-list.lox,,,22112800.0,ns,120
Parser,derived,linked-list.lox,,,22759200.0,ns,126
Parser,derived,linked-list.lox,,,24392400.0,ns,132
Parser,derived,linked-list.lox,,,25130600.0,ns,138
Parser,derived,linked-list.lox,,,29697500.0,ns,144
Parser,derived,linked-list.lox,,,32484600.0,ns,150
Parser,derived,linked-list.lox,,,28363300.0,ns,156
Parser,derived,linked-list.lox,,,29815200.0,ns,162
Parser,derived,linked-list.lox,,,31492100.0,ns,168
Parser,derived,linked-list.lox,,,31875300.0,ns,174
Parser,derived,linked-list.lox,,,32845900.0,ns,180
Parser,derived,linked-list.lox,,,34356800.0,ns,186
Parser,derived,linked-list.lox,,,34826200.0,ns,192
Parser,derived,linked-list.lox,,,36181400.0,ns,198
Parser,derived,linked-list.lox,,,36989900.0,ns,204
Parser,derived,linked-list.lox,,,38017700.0,ns,210
Parser,derived,linked-list.lox,,,38833000.0,ns,216
Parser,derived,linked-list.lox,,,41059900.0,ns,222
Parser,derived,linked-list.lox,,,41822600.0,ns,228
Parser,derived,linked-list.lox,,,42700400.0,ns,234
Parser,derived,linked-list.lox,,,43857000.0,ns,240
Parser,derived,linked-list.lox,,,44731800.0,ns,246
Parser,derived,linked-list.lox,,,45890400.0,ns,252
Parser,derived,linked-list.lox,,,47029500.0,ns,258
Parser,derived,linked-list.lox,,,48315900.0,ns,264
Parser,derived,linked-list.lox,,,49064400.0,ns,270
Parser,derived,linked-list.lox,,,50261500.0,ns,276
Parser,derived,linked-list.lox,,,51580900.0,ns,282
Parser,derived,linked-list.lox,,,54093200.0,ns,288
Parser,derived,linked-list.lox,,,56230100.0,ns,294
Parser,derived,linked-list.lox,,,53650000.0,ns,300
Parser,derived,linked-list.lox,,,54726800.0,ns,306
Parser,derived,linked-list.lox,,,55603800.0,ns,312
Parser,derived,linked-list.lox,,,56648000.0,ns,318
Parser,derived,linked-list.lox,,,57777100.0,ns,324
Parser,derived,linked-list.lox,,,58771300.0,ns,330
Parser,derived,linked-list.lox,,,59935800.0,ns,336
Parser,derived,linked-list.lox,,,61293600.0,ns,342
Parser,derived,linked-list.lox,,,63201300.0,ns,348
Parser,derived,linked-list.lox,,,63297200.0,ns,354
Parser,derived,linked-list.lox,,,64630500.0,ns,360
Parser,derived,linked-list.lox,,,65641100.0,ns,366
Parser,derived,linked-list.lox,,,66956400.0,ns,372
Parser,derived,linked-list.lox,,,67969400.0,ns,378
Parser,derived,linked-list.lox,,,68675200.0,ns,384
Parser,derived,linked-list.lox,,,69961000.0,ns,390
Parser,derived,linked-list.lox,,,70668000.0,ns,396
Parser,derived,linked-list.lox,,,71769700.0,ns,402
