group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,manual,classes.lox,,,957700.0,ns,15
Parser,manual,classes.lox,,,1884600.0,ns,30
Parser,manual,classes.lox,,,2814600.0,ns,45
Parser,manual,classes.lox,,,3807000.0,ns,60
Parser,manual,classes.lox,,,4795400.0,ns,75
Parser,manual,classes.lox,,,5732500.0,ns,90
Parser,manual,classes.lox,,,6696600.0,ns,105
Parser,manual,classes.lox,,,7655000.0,ns,120
Parser,manual,classes.lox,,,8604300.0,ns,135
Parser,manual,classes.lox,,,9596700.0,ns,150
Parser,manual,classes.lox,,,10559100.0,ns,165
Parser,manual,classes.lox,,,11297500.0,ns,180
Parser,manual,classes.lox,,,12354000.0,ns,195
Parser,manual,classes.lox,,,13366500.0,ns,210
Parser,manual,classes.lox,,,14358400.0,ns,225
Parser,manual,classes.lox,,,15268900.0,ns,240
Parser,manual,classes.lox,,,15843900.0,ns,255
Parser,manual,classes.lox,,,16984800.0,ns,270
Parser,manual,classes.lox,,,17913500.0,ns,285
Parser,manual,classes.lox,,,19083600.0,ns,300
Parser,manual,classes.lox,,,20062400.0,ns,315
Parser,manual,classes.lox,,,20991700.0,ns,330
Parser,manual,classes.lox,,,21831700.0,ns,345
Parser,manual,classes.lox,,,22623200.0,ns,360
Parser,manual,classes.lox,,,23651700.0,ns,375
Parser,manual,classes.lox,,,24426000.0,ns,390
Parser,manual,classes.lox,,,25266000.0,ns,405
Parser,manual,classes.lox,,,26408300.0,ns,420
Parser,manual,classes.lox,,,27292600.0,ns,435
Parser,manual,classes.lox,,,28078200.0,ns,450
Parser,manual,classes.lox,,,29402200.0,ns,465
Parser,manual,classes.lox,,,30052900.0,ns,480
Parser,manual,classes.lox,,,31075000.0,ns,495
Parser,manual,classes.lox,,,32009700.0,ns,510
Parser,manual,classes.lox,,,32896200.0,ns,525
Parser,manual,classes.lox,,,34380300.0,ns,540
Parser,manual,classes.lox,,,34729300.0,ns,555
Parser,manual,classes.lox,,,35953500.0,ns,570
Parser,manual,classes.lox,,,36656000.0,ns,585
Parser,manual,classes.lox,,,37645500.0,ns,600
Parser,manual,classes.lox,,,38962700.0,ns,615
Parser,manual,classes.lox,,,39592300.0,ns,630
Parser,manual,classes.lox,,,40439500.0,ns,645
Parser,manual,classes.lox,,,41595700.0,ns,660
Parser,manual,classes.lox,,,42328300.0,ns,675
Parser,manual,classes.lox,,,43410700.0,ns,690
Parser,manual,classes.lox,,,44028200.0,ns,705
Parser,manual,classes.lox,,,44958800.0,ns,720
Parser,manual,classes.lox,,,45915200.0,ns,735
Parser,manual,classes.lox,,,46593800.0,ns,750
Parser,manual,classes.lox,,,47310600.0,ns,765
Parser,manual,classes.lox,,,48198000.0,ns,780
Parser,manual,classes.lox,,,49287000.0,ns,795
Parser,manual,classes.lox,,,50049800.0,ns,810
Parser,manual,classes.lox,,,51154300.0,ns,825
Parser,manual,classes.lox,,,51599400.0,ns,840
Parser,manual,classes.lox,,,52880900.0,ns,855
Parser,manual,classes.lox,,,54210300.0,ns,870
Parser,manual,classes.lox,,,55920500.0,ns,885
Parser,manual,classes.lox,,,56455400.0,ns,900
Parser,manual,classes.lox,,,57759200.0,ns,915
Parser,manual,classes.lox,,,57893800.0,ns,930
Parser,manual,classes.lox,,,59381700.0,ns,945
Parser,manual,classes.lox,,,59480100.0,ns,960
Parser,manual,classes.lox,,,60891400.0,ns,975
Parser,manual,classes.lox,,,61430600.0,ns,990
Parser,manual,classes.lox,,,62447400.0,ns,1005
Parser,manual,classes.lox,,,63509400.0,ns,1020
Parser,manual,classes.lox,,,64222800.0,ns,1035
Parser,manual,classes.lox,,,65119100.0,ns,1050
Parser,manual,classes.lox,,,66113700.0,ns,1065
Parser,manual,classes.lox,,,66563500.0,ns,1080
Parser,manual,classes.lox,,,68428900.0,ns,1095
Parser,manual,classes.lox,,,69212700.0,ns,1110
Parser,manual,classes.lox,,,71446400.0,ns,1125
Parser,manual,classes.lox,,,70376800.0,ns,1140
Parser,manual,classes.lox,,,72903800.0,ns,1155
Parser,manual,classes.lox,,,73253300.0,ns,1170
Parser,manual,classes.lox,,,73285000.0,ns,1185
Parser,manual,classes.lox,,,73114900.0,ns,1200
Parser,manual,classes.lox,,,74621100.0,ns,1215
Parser,manual,classes.lox,,,75825200.0,ns,1230
Parser,manual,classes.lox,,,76618100.0,ns,1245
Parser,manual,classes.lox,,,77609300.0,ns,1260
Parser,manual,classes.lox,,,78361500.0,ns,1275
Parser,manual,classes.lox,,,79901200.0,ns,1290
Parser,manual,classes.lox,,,80974700.0,ns,1305
Parser,manual,classes.lox,,,81870500.0,ns,1320
Parser,manual,classes.lox,,,83074700.0,ns,1335
Parser,manual,classes.lox,,,84050900.0,ns,1350
Parser,manual,classes.lox,,,85358600.0,ns,1365
Parser,manual,classes.lox,,,85067700.0,ns,1380
Parser,manual,classes.lox,,,85248400.0,ns,1395
Parser,manual,classes.lox,,,86249200.0,ns,1410
Parser,manual,classes.lox,,,89342800.0,ns,1425
Parser,manual,classes.lox,,,90567400.0,ns,1440
Parser,manual,classes.lox,,,91494300.0,ns,1455
Parser,manual,classes.lox,,,90714800.0,ns,1470
Parser,manual,classes.lox,,,91742700.0,ns,1485
Parser,manual,classes.lox,,,94881700.0,ns,1500
