group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,manual,counter.lox,,,952900.0,ns,53
Parser,manual,counter.lox,,,1777200.0,ns,106
Parser,manual,counter.lox,,,2623900.0,ns,159
Parser,manual,counter.lox,,,3531300.0,ns,212
Parser,manual,counter.lox,,,4559600.0,ns,265
Parser,manual,counter.lox,,,5416100.0,ns,318
Parser,manual,counter.lox,,,6210200.0,ns,371
Parser,manual,counter.lox,,,7137300.0,ns,424
Parser,manual,counter.lox,,,7912700.0,ns,477
Parser,manual,counter.lox,,,8893000.0,ns,530
Parser,manual,counter.lox,,,9714200.0,ns,583
Parser,manual,counter.lox,,,10554600.0,ns,636
Parser,manual,counter.lox,,,11688200.0,ns,689
Parser,manual,counter.lox,,,12310400.0,ns,742
Parser,manual,counter.lox,,,13268600.0,ns,795
Parser,manual,counter.lox,,,14159400.0,ns,848
Parser,manual,counter.lox,,,15039000.0,ns,901
Parser,manual,counter.lox,,,16064400.0,ns,954
Parser,manual,counter.lox,,,16791600.0,ns,1007
Parser,manual,counter.lox,,,17724900.0,ns,1060
Parser,manual,counter.lox,,,18614000.0,ns,1113
Parser,manual,counter.lox,,,19298400.0,ns,1166
Parser,manual,counter.lox,,,20050900.0,ns,1219
Parser,manual,counter.lox,,,21200200.0,ns,1272
Parser,manual,counter.lox,,,22179500.0,ns,1325
Parser,manual,counter.lox,,,23155700.0,ns,1378
Parser,manual,counter.lox,,,23930000.0,ns,1431
Parser,manual,counter.lox,,,24977500.0,ns,1484
Parser,manual,counter.lox,,,25808400.0,ns,1537
Parser,manual,counter.lox,,,26761700.0,ns,1590
Parser,manual,counter.lox,,,27494800.0,ns,1643
Parser,manual,counter.lox,,,28271300.0,ns,1696
Parser,manual,counter.lox,,,29119700.0,ns,1749
Parser,manual,counter.lox,,,30279100.0,ns,1802
Parser,manual,counter.lox,,,30522300.0,ns,1855
Parser,manual,counter.lox,,,31811000.0,ns,1908
Parser,manual,counter.lox,,,33637600.0,ns,1961
Parser,manual,counter.lox,,,36312500.0,ns,2014
Parser,manual,counter.lox,,,34523200.0,ns,2067
Parser,manual,counter.lox,,,35665300.0,ns,2120
Parser,manual,counter.lox,,,36596200.0,ns,2173
Parser,manual,counter.lox,,,37915600.0,ns,2226
Parser,manual,counter.lox,,,38152200.0,ns,2279
Parser,manual,counter.lox,,,38882400.0,ns,2332
Parser,manual,counter.lox,,,39970700.0,ns,2385
Parser,manual,counter.lox,,,40982800.0,ns,2438
Parser,manual,counter.lox,,,41503500.0,ns,2491
Parser,manual,counter.lox,,,42382200.0,ns,2544
Parser,manual,counter.lox,,,43026400.0,ns,2597
Parser,manual,counter.lox,,,44009400.0,ns,2650
Parser,manual,counter.lox,,,45132200.0,ns,2703
Parser,manual,counter.lox,,,45937500.0,ns,2756
Parser,manual,counter.lox,,,46547700.0,ns,2809
Parser,manual,counter.lox,,,47317700.0,ns,2862
Parser,manual,counter.lox,,,48880000.0,ns,2915
Parser,manual,counter.lox,,,49490700.0,ns,2968
Parser,manual,counter.lox,,,50585100.0,ns,3021
Parser,manual,counter.lox,,,51185200.0,ns,3074
Parser,manual,counter.lox,,,51747500.0,ns,3127
Parser,manual,counter.lox,,,53656400.0,ns,3180
Parser,manual,counter.lox,,,54421900.0,ns,3233
Parser,manual,counter.lox,,,55330800.0,ns,3286
Parser,manual,counter.lox,,,56451000.0,ns,3339
Parser,manual,counter.lox,,,57429200.0,ns,3392
Parser,manual,counter.lox,,,58239000.0,ns,3445
Parser,manual,counter.lox,,,59137700.0,ns,3498
Parser,manual,counter.lox,,,60379600.0,ns,3551
Parser,manual,counter.lox,,,60929200.0,ns,3604
Parser,manual,counter.lox,,,62193800.0,ns,3657
Parser,manual,counter.lox,,,63083200.0,ns,3710
Parser,manual,counter.lox,,,64015800.0,ns,3763
Parser,manual,counter.lox,,,65041900.0,ns,3816
Parser,manual,counter.lox,,,65512300.0,ns,3869
Parser,manual,counter.lox,,,67223000.0,ns,3922
Parser,manual,counter.lox,,,67291400.0,ns,3975
Parser,manual,counter.lox,,,68708200.0,ns,4028
Parser,manual,counter.lox,,,69210600.0,ns,4081
Parser,manual,counter.lox,,,70280600.0,ns,4134
Parser,manual,counter.lox,,,71610800.0,ns,4187
Parser,manual,counter.lox,,,71797700.0,ns,4240
Parser,manual,counter.lox,,,72552100.0,ns,4293
Parser,manual,counter.lox,,,73646700.0,ns,4346
Parser,manual,counter.lox,,,74697200.0,ns,4399
Parser,manual,counter.lox,,,76330600.0,ns,4452
Parser,manual,counter.lox,,,76446100.0,ns,4505
Parser,manual,counter.lox,,,78008200.0,ns,4558
Parser,manual,counter.lox,,,78714000.0,ns,4611
Parser,manual,counter.lox,,,79921500.0,ns,4664
Parser,manual,counter.lox,,,80911200.0,ns,4717
Parser,manual,counter.lox,,,81085800.0,ns,4770
Parser,manual,counter.lox,,,81846400.0,ns,4823
Parser,manual,counter.lox,,,83223700.0,ns,4876
Parser,manual,counter.lox,,,83860100.0,ns,4929
Parser,manual,counter.lox,,,84210200.0,ns,4982
Parser,manual,counter.lox,,,85068000.0,ns,5035
Parser,manual,counter.lox,,,86418000.0,ns,5088
Parser,manual,counter.lox,,,87106500.0,ns,5141
Parser,manual,counter.lox,,,88314300.0,ns,5194
Parser,manual,counter.lox,,,89042600.0,ns,5247
Parser,manual,counter.lox,,,89430100.0,ns,5300
