group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,manual,fib.lox,,,914200.0,ns,40
Parser,manual,fib.lox,,,1772100.0,ns,80
Parser,manual,fib.lox,,,2709400.0,ns,120
Parser,manual,fib.lox,,,3654800.0,ns,160
Parser,manual,fib.lox,,,4714500.0,ns,200
Parser,manual,fib.lox,,,5376600.0,ns,240
Parser,manual,fib.lox,,,6257000.0,ns,280
Parser,manual,fib.lox,,,7267800.0,ns,320
Parser,manual,fib.lox,,,8264300.0,ns,360
Parser,manual,fib.lox,,,9097200.0,ns,400
Parser,manual,fib.lox,,,10060300.0,ns,440
Parser,manual,fib.lox,,,10832300.0,ns,480
Parser,manual,fib.lox,,,11937800.0,ns,520
Parser,manual,fib.lox,,,12605200.0,ns,560
Parser,manual,fib.lox,,,13424600.0,ns,600
Parser,manual,fib.lox,,,14496400.0,ns,640
Parser,manual,fib.lox,,,15340400.0,ns,680
Parser,manual,fib.lox,,,16153900.0,ns,720
Parser,manual,fib.lox,,,17137800.0,ns,760
Parser,manual,fib.lox,,,17662900.0,ns,800
Parser,manual,fib.lox,,,18978000.0,ns,840
Parser,manual,fib.lox,,,19563300.0,ns,880
Parser,manual,fib.lox,,,20334200.0,ns,920
Parser,manual,fib.lox,,,21595500.0,ns,960
Parser,manual,fib.lox,,,22927200.0,ns,1000
Parser,manual,fib.lox,,,23515900.0,ns,1040
Parser,manual,fib.lox,,,24394700.0,ns,1080
Parser,manual,fib.lox,,,25125600.0,ns,1120
Parser,manual,fib.lox,,,26160900.0,ns,1160
Parser,manual,fib.lox,,,26974700.0,ns,1200
Parser,manual,fib.lox,,,27923600.0,ns,1240
Parser,manual,fib.lox,,,28755400.0,ns,1280
Parser,manual,fib.lox,,,29788700.0,ns,1320
Parser,manual,fib.lox,,,30217200.0,ns,1360
Parser,manual,fib.lox,,,31109600.0,ns,1400
Parser,manual,fib.lox,,,32134000.0,ns,1440
Parser,manual,fib.lox,,,33051000.0,ns,1480
Parser,manual,fib.lox,,,33892700.0,ns,1520
Parser,manual,fib.lox,,,34599900.0,ns,1560
Parser,manual,fib.lox,,,35798000.0,ns,1600
Parser,manual,fib.lox,,,36271100.0,ns,1640
Parser,manual,fib.lox,,,37063900.0,ns,1680
Parser,manual,fib.lox,,,37918400.0,ns,1720
Parser,manual,fib.lox,,,39122100.0,ns,1760
Parser,manual,fib.lox,,,39503000.0,ns,1800
Parser,manual,fib.lox,,,40378600.0,ns,1840
Parser,manual,fib.lox,,,41790400.0,ns,1880
Parser,manual,fib.lox,,,42437600.0,ns,1920
Parser,manual,fib.lox,,,43331200.0,ns,1960
Parser,manual,fib.lox,,,44427700.0,ns,2000
Parser,manual,fib.lox,,,45312900.0,ns,2040
Parser,manual,fib.lox,,,46533800.0,ns,2080
Parser,manual,fib.lox,,,47448900.0,ns,2120
Parser,manual,fib.lox,,,48729500.0,ns,2160
Parser,manual,fib.lox,,,49036900.0,ns,2200
Parser,manual,fib.lox,,,49795500.0,ns,2240
Parser,manual,fib.lox,,,50808400.0,ns,2280
Parser,manual,fib.lox,,,51701300.0,ns,2320
Parser,manual,fib.lox,,,52606200.0,ns,2360
Parser,manual,fib.lox,,,53228500.0,ns,2400
Parser,manual,fib.lox,,,54044700.0,ns,2440
Parser,manual,fib.lox,,,54983000.0,ns,2480
Parser,manual,fib.lox,,,55267400.0,ns,2520
Parser,manual,fib.lox,,,56590100.0,ns,2560
Parser,manual,fib.lox,,,57041600.0,ns,2600
Parser,manual,fib.lox,,,57715400.0,ns,2640
Parser,manual,fib.lox,,,57895100.0,ns,2680
Parser,manual,fib.lox,,,60599300.0,ns,2720
Parser,manual,fib.lox,,,61542000.0,ns,2760
Parser,manual,fib.lox,,,61208800.0,ns,2800
Parser,manual,fib.lox,,,63396200.0,ns,2840
Parser,manual,fib.lox,,,63083300.0,ns,2880
Parser,manual,fib.lox,,,63653900.0,ns,2920
Parser,manual,fib.lox,,,65694700.0,ns,2960
Parser,manual,fib.lox,,,66702000.0,ns,3000
Parser,manual,fib.lox,,,66494000.0,ns,3040
Parser,manual,fib.lox,,,68253500.0,ns,3080
Parser,manual,fib.lox,,,68495600.0,ns,3120
Parser,manual,fib.lox,,,69676200.0,ns,3160
Parser,manual,fib.lox,,,69843200.0,ns,3200
Parser,manual,fib.lox,,,69773000.0,ns,3240
Parser,manual,fib.lox,,,70605800.0,ns,3280
Parser,manual,fib.lox,,,71311600.0,ns,3320
Parser,manual,fib.lox,,,73476100.0,ns,3360
Parser,manual,fib.lox,,,75608100.0,ns,3400
Parser,manual,fib.lox,,,75638200.0,ns,3440
Parser,manual,fib.lox,,,75876900.0,ns,3480
Parser,manual,fib.lox,,,75610300.0,ns,3520
Parser,manual,fib.lox,,,77221800.0,ns,3560
Parser,manual,fib.lox,,,79867500.0,ns,3600
Parser,manual,fib.lox,,,78776200.0,ns,3640
Parser,manual,fib.lox,,,80726100.0,ns,3680
Parser,manual,fib.lox,,,82055000.0,ns,3720
Parser,manual,fib.lox,,,82670500.0,ns,3760
Parser,manual,fib.lox,,,82126600.0,ns,3800
Parser,manual,fib.lox,,,83123600.0,ns,3840
Parser,manual,fib.lox,,,83452400.0,ns,3880
Parser,manual,fib.lox,,,88002300.0,ns,3920
Parser,manual,fib.lox,,,86895200.0,ns,3960
Parser,manual,fib.lox,,,87893700.0,ns,4000
