group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,manual,fizzbuzz1.lox,,,964900.0,ns,16
Parser,manual,fizzbuzz1.lox,,,1767400.0,ns,32
Parser,manual,fizzbuzz1.lox,,,2505800.0,ns,48
Parser,manual,fizzbuzz1.lox,,,3802600.0,ns,64
Parser,manual,fizzbuzz1.lox,,,4732200.0,ns,80
Parser,manual,fizzbuzz1.lox,,,5256800.0,ns,96
Parser,manual,fizzbuzz1.lox,,,6148400.0,ns,112
Parser,manual,fizzbuzz1.lox,,,6962900.0,ns,128
Parser,manual,fizzbuzz1.lox,,,7908500.0,ns,144
Parser,manual,fizzbuzz1.lox,,,8832300.0,ns,160
Parser,manual,fizzbuzz1.lox,,,10222100.0,ns,176
Parser,manual,fizzbuzz1.lox,,,11126600.0,ns,192
Parser,manual,fizzbuzz1.lox,,,11131900.0,ns,208
Parser,manual,fizzbuzz1.lox,,,12160600.0,ns,224
Parser,manual,fizzbuzz1.lox,,,13111200.0,ns,240
Parser,manual,fizzbuzz1.lox,,,14608900.0,ns,256
Parser,manual,fizzbuzz1.lox,,,15516700.0,ns,272
Parser,manual,fizzbuzz1.lox,,,15636400.0,ns,288
Parser,manual,fizzbuzz1.lox,,,16482400.0,ns,304
Parser,manual,fizzbuzz1.lox,,,18619700.0,ns,320
Parser,manual,fizzbuzz1.lox,,,18795400.0,ns,336
Parser,manual,fizzbuzz1.lox,,,19229700.0,ns,352
Parser,manual,fizzbuzz1.lox,,,20323700.0,ns,368
Parser,manual,fizzbuzz1.lox,,,20898800.0,ns,384
Parser,manual,fizzbuzz1.lox,,,21864600.0,ns,400
Parser,manual,fizzbuzz1.lox,,,23343800.0,ns,416
Parser,manual,fizzbuzz1.lox,,,23497100.0,ns,432
Parser,manual,fizzbuzz1.lox,,,24407100.0,ns,448
Parser,manual,fizzbuzz1.lox,,,25939300.0,ns,464
Parser,manual,fizzbuzz1.lox,,,26740600.0,ns,480
Parser,manual,fizzbuzz1.lox,,,27304400.0,ns,496
Parser,manual,fizzbuzz1.lox,,,30550400.0,ns,512
Parser,manual,fizzbuzz1.lox,,,28706000.0,ns,528
Parser,manual,fizzbuzz1.lox,,,31076300.0,ns,544
Parser,manual,fizzbuzz1.lox,,,30861200.0,ns,560
Parser,manual,fizzbuzz1.lox,,,31792500.0,ns,576
Parser,manual,fizzbuzz1.lox,,,32967300.0,ns,592
Parser,manual,fizzbuzz1.lox,,,35315400.0,ns,608
Parser,manual,fizzbuzz1.lox,,,34213300.0,ns,624
Parser,manual,fizzbuzz1.lox,,,34807100.0,ns,640
Parser,manual,fizzbuzz1.lox,,,36482700.0,ns,656
Parser,manual,fizzbuzz1.lox,,,38836800.0,ns,672
Parser,manual,fizzbuzz1.lox,,,37731800.0,ns,688
Parser,manual,fizzbuzz1.lox,,,39186900.0,ns,704
Parser,manual,fizzbuzz1.lox,,,40243400.0,ns,720
Parser,manual,fizzbuzz1.lox,,,40179200.0,ns,736
Parser,manual,fizzbuzz1.lox,,,42913600.0,ns,752
Parser,manual,fizzbuzz1.lox,,,41931900.0,ns,768
Parser,manual,fizzbuzz1.lox,,,43406900.0,ns,784
Parser,manual,fizzbuzz1.lox,,,44266400.0,ns,800
Parser,manual,fizzbuzz1.lox,,,45269300.0,ns,816
Parser,manual,fizzbuzz1.lox,,,48236200.0,ns,832
Parser,manual,fizzbuzz1.lox,,,46272300.0,ns,848
Parser,manual,fizzbuzz1.lox,,,47482000.0,ns,864
Parser,manual,fizzbuzz1.lox,,,49209700.0,ns,880
Parser,manual,fizzbuzz1.lox,,,50015600.0,ns,896
Parser,manual,fizzbuzz1.lox,,,50948200.0,ns,912
Parser,manual,fizzbuzz1.lox,,,51814800.0,ns,928
Parser,manual,fizzbuzz1.lox,,,52339900.0,ns,944
Parser,manual,fizzbuzz1.lox,,,52679100.0,ns,960
Parser,manual,fizzbuzz1.lox,,,54531900.0,ns,976
Parser,manual,fizzbuzz1.lox,,,55214200.0,ns,992
Parser,manual,fizzbuzz1.lox,,,55097900.0,ns,1008
Parser,manual,fizzbuzz1.lox,,,57140200.0,ns,1024
Parser,manual,fizzbuzz1.lox,,,58294400.0,ns,1040
Parser,manual,fizzbuzz1.lox,,,59918000.0,ns,1056
Parser,manual,fizzbuzz1.lox,,,59940800.0,ns,1072
Parser,manual,fizzbuzz1.lox,,,59749900.0,ns,1088
Parser,manual,fizzbuzz1.lox,,,60213200.0,ns,1104
Parser,manual,fizzbuzz1.lox,,,62333800.0,ns,1120
Parser,manual,fizzbuzz1.lox,,,64131500.0,ns,1136
Parser,manual,fizzbuzz1.lox,,,62901800.0,ns,1152
Parser,manual,fizzbuzz1.lox,,,63641400.0,ns,1168
Parser,manual,fizzbuzz1.lox,,,65436000.0,ns,1184
Parser,manual,fizzbuzz1.lox,,,66213600.0,ns,1200
Parser,manual,fizzbuzz1.lox,,,66645200.0,ns,1216
Parser,manual,fizzbuzz1.lox,,,68214600.0,ns,1232
Parser,manual,fizzbuzz1.lox,,,68986100.0,ns,1248
Parser,manual,fizzbuzz1.lox,,,69626900.0,ns,1264
Parser,manual,fizzbuzz1.lox,,,70260000.0,ns,1280
Parser,manual,fizzbuzz1.lox,,,71405900.0,ns,1296
Parser,manual,fizzbuzz1.lox,,,73466800.0,ns,1312
Parser,manual,fizzbuzz1.lox,,,74049900.0,ns,1328
Parser,manual,fizzbuzz1.lox,,,74332700.0,ns,1344
Parser,manual,fizzbuzz1.lox,,,75434700.0,ns,1360
Parser,manual,fizzbuzz1.lox,,,75879500.0,ns,1376
Parser,manual,fizzbuzz1.lox,,,76631700.0,ns,1392
Parser,manual,fizzbuzz1.lox,,,77668000.0,ns,1408
Parser,manual,fizzbuzz1.lox,,,78970600.0,ns,1424
Parser,manual,fizzbuzz1.lox,,,79519900.0,ns,1440
Parser,manual,fizzbuzz1.lox,,,80127400.0,ns,1456
Parser,manual,fizzbuzz1.lox,,,81425100.0,ns,1472
Parser,manual,fizzbuzz1.lox,,,82434100.0,ns,1488
Parser,manual,fizzbuzz1.lox,,,83022400.0,ns,1504
Parser,manual,fizzbuzz1.lox,,,85711200.0,ns,1520
Parser,manual,fizzbuzz1.lox,,,85471700.0,ns,1536
Parser,manual,fizzbuzz1.lox,,,85523400.0,ns,1552
Parser,manual,fizzbuzz1.lox,,,86470600.0,ns,1568
Parser,manual,fizzbuzz1.lox,,,87177700.0,ns,1584
Parser,manual,fizzbuzz1.lox,,,88129700.0,ns,1600
