group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,manual,fizzbuzz2.lox,,,905300.0,ns,16
Parser,manual,fizzbuzz2.lox,,,1746300.0,ns,32
Parser,manual,fizzbuzz2.lox,,,2633100.0,ns,48
Parser,manual,fizzbuzz2.lox,,,3543600.0,ns,64
Parser,manual,fizzbuzz2.lox,,,4462800.0,ns,80
Parser,manual,fizzbuzz2.lox,,,5271700.0,ns,96
Parser,manual,fizzbuzz2.lox,,,6281500.0,ns,112
Parser,manual,fizzbuzz2.lox,,,7152700.0,ns,128
Parser,manual,fizzbuzz2.lox,,,8110400.0,ns,144
Parser,manual,fizzbuzz2.lox,,,8957600.0,ns,160
Parser,manual,fizzbuzz2.lox,,,10018100.0,ns,176
Parser,manual,fizzbuzz2.lox,,,10698600.0,ns,192
Parser,manual,fizzbuzz2.lox,,,11613800.0,ns,208
Parser,manual,fizzbuzz2.lox,,,12544700.0,ns,224
Parser,manual,fizzbuzz2.lox,,,13424900.0,ns,240
Parser,manual,fizzbuzz2.lox,,,14471500.0,ns,256
Parser,manual,fizzbuzz2.lox,,,15224700.0,ns,272
Parser,manual,fizzbuzz2.lox,,,16046600.0,ns,288
Parser,manual,fizzbuzz2.lox,,,16783200.0,ns,304
Parser,manual,fizzbuzz2.lox,,,17774900.0,ns,320
Parser,manual,fizzbuzz2.lox,,,18790400.0,ns,336
Parser,manual,fizzbuzz2.lox,,,19582800.0,ns,352
Parser,manual,fizzbuzz2.lox,,,20403100.0,ns,368
Parser,manual,fizzbuzz2.lox,,,21222700.0,ns,384
Parser,manual,fizzbuzz2.lox,,,22222200.0,ns,400
Parser,manual,fizzbuzz2.lox,,,23144200.0,ns,416
Parser,manual,fizzbuzz2.lox,,,23979200.0,ns,432
Parser,manual,fizzbuzz2.lox,,,24905400.0,ns,448
Parser,manual,fizzbuzz2.lox,,,25656900.0,ns,464
Parser,manual,fizzbuzz2.lox,,,26657700.0,ns,480
Parser,manual,fizzbuzz2.lox,,,28032100.0,ns,496
Parser,manual,fizzbuzz2.lox,,,28324000.0,ns,512
Parser,manual,fizzbuzz2.lox,,,29423200.0,ns,528
Parser,manual,fizzbuzz2.lox,,,29836300.0,ns,544
Parser,manual,fizzbuzz2.lox,,,30536000.0,ns,560
Parser,manual,fizzbuzz2.lox,,,31714900.0,ns,576
Parser,manual,fizzbuzz2.lox,,,32591200.0,ns,592
Parser,manual,fizzbuzz2.lox,,,33221800.0,ns,608
Parser,manual,fizzbuzz2.lox,,,34151300.0,ns,624
Parser,manual,fizzbuzz2.lox,,,34865000.0,ns,640
Parser,manual,fizzbuzz2.lox,,,35871200.0,ns,656
Parser,manual,fizzbuzz2.lox,,,36706300.0,ns,672
Parser,manual,fizzbuzz2.lox,,,38340900.0,ns,688
Parser,manual,fizzbuzz2.lox,,,38698700.0,ns,704
Parser,manual,fizzbuzz2.lox,,,39499300.0,ns,720
Parser,manual,fizzbuzz2.lox,,,40487700.0,ns,736
Parser,manual,fizzbuzz2.lox,,,41620300.0,ns,752
Parser,manual,fizzbuzz2.lox,,,42319100.0,ns,768
Parser,manual,fizzbuzz2.lox,,,43229600.0,ns,784
Parser,manual,fizzbuzz2.lox,,,43586300.0,ns,800
Parser,manual,fizzbuzz2.lox,,,44610300.0,ns,816
Parser,manual,fizzbuzz2.lox,,,45770200.0,ns,832
Parser,manual,fizzbuzz2.lox,,,46718900.0,ns,848
Parser,manual,fizzbuzz2.lox,,,47637500.0,ns,864
Parser,manual,fizzbuzz2.lox,,,48092200.0,ns,880
Parser,manual,fizzbuzz2.lox,,,49509700.0,ns,896
Parser,manual,fizzbuzz2.lox,,,49602700.0,ns,912
Parser,manual,fizzbuzz2.lox,,,50814400.0,ns,928
Parser,manual,fizzbuzz2.lox,,,51609300.0,ns,944
Parser,manual,fizzbuzz2.lox,,,52184800.0,ns,960
Parser,manual,fizzbuzz2.lox,,,53575400.0,ns,976
Parser,manual,fizzbuzz2.lox,,,54395200.0,ns,992
Parser,manual,fizzbuzz2.lox,,,54956000.0,ns,1008
Parser,manual,fizzbuzz2.lox,,,57002900.0,ns,1024
Parser,manual,fizzbuzz2.lox,,,57407000.0,ns,1040
Parser,manual,fizzbuzz2.lox,,,57500200.0,ns,1056
Parser,manual,fizzbuzz2.lox,,,58906300.0,ns,1072
Parser,manual,fizzbuzz2.lox,,,59400900.0,ns,1088
Parser,manual,fizzbuzz2.lox,,,60205000.0,ns,1104
Parser,manual,fizzbuzz2.lox,,,61036000.0,ns,1120
Parser,manual,fizzbuzz2.lox,,,61744300.0,ns,1136
Parser,manual,fizzbuzz2.lox,,,62852800.0,ns,1152
Parser,manual,fizzbuzz2.lox,,,63917400.0,ns,1168
Parser,manual,fizzbuzz2.lox,,,64705100.0,ns,1184
Parser,manual,fizzbuzz2.lox,,,65251900.0,ns,1200
Parser,manual,fizzbuzz2.lox,,,66105200.0,ns,1216
Parser,manual,fizzbuzz2.lox,,,66486900.0,ns,1232
Parser,manual,fizzbuzz2.lox,,,68445600.0,ns,1248
Parser,manual,fizzbuzz2.lox,,,69349300.0,ns,1264
Parser,manual,fizzbuzz2.lox,,,71460000.0,ns,1280
Parser,manual,fizzbuzz2.lox,,,71184500.0,ns,1296
Parser,manual,fizzbuzz2.lox,,,71361600.0,ns,1312
Parser,manual,fizzbuzz2.lox,,,72337700.0,ns,1328
Parser,manual,fizzbuzz2.lox,,,73317000.0,ns,1344
Parser,manual,fizzbuzz2.lox,,,74316900.0,ns,1360
Parser,manual,fizzbuzz2.lox,,,74302000.0,ns,1376
Parser,manual,fizzbuzz2.lox,,,75482100.0,ns,1392
Parser,manual,fizzbuzz2.lox,,,76392000.0,ns,1408
Parser,manual,fizzbuzz2.lox,,,77702100.0,ns,1424
Parser,manual,fizzbuzz2.lox,,,78940600.0,ns,1440
Parser,manual,fizzbuzz2.lox,,,79474000.0,ns,1456
Parser,manual,fizzbuzz2.lox,,,80597000.0,ns,1472
Parser,manual,fizzbuzz2.lox,,,81362200.0,ns,1488
Parser,manual,fizzbuzz2.lox,,,83430200.0,ns,1504
Parser,manual,fizzbuzz2.lox,,,82935900.0,ns,1520
Parser,manual,fizzbuzz2.lox,,,83760300.0,ns,1536
Parser,manual,fizzbuzz2.lox,,,84853400.0,ns,1552
Parser,manual,fizzbuzz2.lox,,,85506700.0,ns,1568
Parser,manual,fizzbuzz2.lox,,,86597000.0,ns,1584
Parser,manual,fizzbuzz2.lox,,,86989200.0,ns,1600
