group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,manual,forloop.lox,,,1099200.0,ns,146
Parser,manual,forloop.lox,,,1769400.0,ns,292
Parser,manual,forloop.lox,,,2635600.0,ns,438
Parser,manual,forloop.lox,,,3563000.0,ns,584
Parser,manual,forloop.lox,,,4526600.0,ns,730
Parser,manual,forloop.lox,,,5395800.0,ns,876
Parser,manual,forloop.lox,,,6274800.0,ns,1022
Parser,manual,forloop.lox,,,7143800.0,ns,1168
Parser,manual,forloop.lox,,,8247700.0,ns,1314
Parser,manual,forloop.lox,,,8827300.0,ns,1460
Parser,manual,forloop.lox,,,9673200.0,ns,1606
Parser,manual,forloop.lox,,,10430500.0,ns,1752
Parser,manual,forloop.lox,,,11597000.0,ns,1898
Parser,manual,forloop.lox,,,12546200.0,ns,2044
Parser,manual,forloop.lox,,,13346700.0,ns,2190
Parser,manual,forloop.lox,,,13953800.0,ns,2336
Parser,manual,forloop.lox,,,14865300.0,ns,2482
Parser,manual,forloop.lox,,,15846000.0,ns,2628
Parser,manual,forloop.lox,,,17016400.0,ns,2774
Parser,manual,forloop.lox,,,17476900.0,ns,2920
Parser,manual,forloop.lox,,,18385200.0,ns,3066
Parser,manual,forloop.lox,,,19203000.0,ns,3212
Parser,manual,forloop.lox,,,20275100.0,ns,3358
Parser,manual,forloop.lox,,,21195100.0,ns,3504
Parser,manual,forloop.lox,,,22097400.0,ns,3650
Parser,manual,forloop.lox,,,22839100.0,ns,3796
Parser,manual,forloop.lox,,,23764700.0,ns,3942
Parser,manual,forloop.lox,,,24987700.0,ns,4088
Parser,manual,forloop.lox,,,25709400.0,ns,4234
Parser,manual,forloop.lox,,,26482100.0,ns,4380
Parser,manual,forloop.lox,,,27189300.0,ns,4526
Parser,manual,forloop.lox,,,28015900.0,ns,4672
Parser,manual,forloop.lox,,,28658400.0,ns,4818
Parser,manual,forloop.lox,,,29928200.0,ns,4964
Parser,manual,forloop.lox,,,31422900.0,ns,5110
Parser,manual,forloop.lox,,,32031700.0,ns,5256
Parser,manual,forloop.lox,,,32649200.0,ns,5402
Parser,manual,forloop.lox,,,33478500.0,ns,5548
Parser,manual,forloop.lox,,,34421600.0,ns,5694
Parser,manual,forloop.lox,,,34998500.0,ns,5840
Parser,manual,forloop.lox,,,36035500.0,ns,5986
Parser,manual,forloop.lox,,,37080300.0,ns,6132
Parser,manual,forloop.lox,,,37427300.0,ns,6278
Parser,manual,forloop.lox,,,38542300.0,ns,6424
Parser,manual,forloop.lox,,,38782800.0,ns,6570
Parser,manual,forloop.lox,,,39629600.0,ns,6716
Parser,manual,forloop.lox,,,40766900.0,ns,6862
Parser,manual,forloop.lox,,,41482300.0,ns,7008
Parser,manual,forloop.lox,,,42477300.0,ns,7154
Parser,manual,forloop.lox,,,43311100.0,ns,7300
Parser,manual,forloop.lox,,,44155400.0,ns,7446
Parser,manual,forloop.lox,,,44908300.0,ns,7592
Parser,manual,forloop.lox,,,45710000.0,ns,7738
Parser,manual,forloop.lox,,,46871500.0,ns,7884
Parser,manual,forloop.lox,,,48071000.0,ns,8030
Parser,manual,forloop.lox,,,48864200.0,ns,8176
Parser,manual,forloop.lox,,,49958800.0,ns,8322
Parser,manual,forloop.lox,,,50578400.0,ns,8468
Parser,manual,forloop.lox,,,51470900.0,ns,8614
Parser,manual,forloop.lox,,,52672000.0,ns,8760
Parser,manual,forloop.lox,,,52852400.0,ns,8906
Parser,manual,forloop.lox,,,53672700.0,ns,9052
Parser,manual,forloop.lox,,,54840300.0,ns,9198
Parser,manual,forloop.lox,,,55510500.0,ns,9344
Parser,manual,forloop.lox,,,56452000.0,ns,9490
Parser,manual,forloop.lox,,,57451700.0,ns,9636
Parser,manual,forloop.lox,,,57999300.0,ns,9782
Parser,manual,forloop.lox,,,58979900.0,ns,9928
Parser,manual,forloop.lox,,,59172200.0,ns,10074
Parser,manual,forloop.lox,,,60114800.0,ns,10220
Parser,manual,forloop.lox,,,62170000.0,ns,10366
Parser,manual,forloop.lox,,,63241300.0,ns,10512
Parser,manual,forloop.lox,,,63453700.0,ns,10658
Parser,manual,forloop.lox,,,64174200.0,ns,10804
Parser,manual,forloop.lox,,,65957000.0,ns,10950
Parser,manual,forloop.lox,,,67055700.0,ns,11096
Parser,manual,forloop.lox,,,67720300.0,ns,11242
Parser,manual,forloop.lox,,,68107400.0,ns,11388
Parser,manual,forloop.lox,,,68217200.0,ns,11534
Parser,manual,forloop.lox,,,69761300.0,ns,11680
Parser,manual,forloop.lox,,,70113200.0,ns,11826
Parser,manual,forloop.lox,,,71365300.0,ns,11972
Parser,manual,forloop.lox,,,71390200.0,ns,12118
Parser,manual,forloop.lox,,,73076500.0,ns,12264
Parser,manual,forloop.lox,,,73355600.0,ns,12410
Parser,manual,forloop.lox,,,74735400.0,ns,12556
Parser,manual,forloop.lox,,,75773200.0,ns,12702
Parser,manual,forloop.lox,,,76295800.0,ns,12848
Parser,manual,forloop.lox,,,77244500.0,ns,12994
Parser,manual,forloop.lox,,,77729700.0,ns,13140
Parser,manual,forloop.lox,,,80086300.0,ns,13286
Parser,manual,forloop.lox,,,79548000.0,ns,13432
Parser,manual,forloop.lox,,,80195300.0,ns,13578
Parser,manual,forloop.lox,,,80095500.0,ns,13724
Parser,manual,forloop.lox,,,81835200.0,ns,13870
Parser,manual,forloop.lox,,,81956600.0,ns,14016
Parser,manual,forloop.lox,,,82916800.0,ns,14162
Parser,manual,forloop.lox,,,85094400.0,ns,14308
Parser,manual,forloop.lox,,,86208400.0,ns,14454
Parser,manual,forloop.lox,,,86316300.0,ns,14600
