group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,manual,fun-expressions.lox,,,860300.0,ns,50
Parser,manual,fun-expressions.lox,,,1680600.0,ns,100
Parser,manual,fun-expressions.lox,,,2503700.0,ns,150
Parser,manual,fun-expressions.lox,,,3306700.0,ns,200
Parser,manual,fun-expressions.lox,,,4285300.0,ns,250
Parser,manual,fun-expressions.lox,,,4974900.0,ns,300
Parser,manual,fun-expressions.lox,,,5801600.0,ns,350
Parser,manual,fun-expressions.lox,,,6704500.0,ns,400
Parser,manual,fun-expressions.lox,,,7485500.0,ns,450
Parser,manual,fun-expressions.lox,,,8391600.0,ns,500
Parser,manual,fun-expressions.lox,,,9312100.0,ns,550
Parser,manual,fun-expressions.lox,,,9931600.0,ns,600
Parser,manual,fun-expressions.lox,,,10844600.0,ns,650
Parser,manual,fun-expressions.lox,,,11582900.0,ns,700
Parser,manual,fun-expressions.lox,,,12337600.0,ns,750
Parser,manual,fun-expressions.lox,,,13236100.0,ns,800
Parser,manual,fun-expressions.lox,,,14054500.0,ns,850
Parser,manual,fun-expressions.lox,,,14958900.0,ns,900
Parser,manual,fun-expressions.lox,,,15452700.0,ns,950
Parser,manual,fun-expressions.lox,,,16459500.0,ns,1000
Parser,manual,fun-expressions.lox,,,17440400.0,ns,1050
Parser,manual,fun-expressions.lox,,,18235700.0,ns,1100
Parser,manual,fun-expressions.lox,,,18926700.0,ns,1150
Parser,manual,fun-expressions.lox,,,19710800.0,ns,1200
Parser,manual,fun-expressions.lox,,,20621200.0,ns,1250
Parser,manual,fun-expressions.lox,,,21853400.0,ns,1300
Parser,manual,fun-expressions.lox,,,25644900.0,ns,1350
Parser,manual,fun-expressions.lox,,,25549100.0,ns,1400
Parser,manual,fun-expressions.lox,,,25852100.0,ns,1450
Parser,manual,fun-expressions.lox,,,24351700.0,ns,1500
Parser,manual,fun-expressions.lox,,,25205700.0,ns,1550
Parser,manual,fun-expressions.lox,,,25921100.0,ns,1600
Parser,manual,fun-expressions.lox,,,26590400.0,ns,1650
