group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,manual,fun.lox,,,898000.0,ns,19
Parser,manual,fun.lox,,,1770000.0,ns,38
Parser,manual,fun.lox,,,2616600.0,ns,57
Parser,manual,fun.lox,,,3492700.0,ns,76
Parser,manual,fun.lox,,,4447400.0,ns,95
Parser,manual,fun.lox,,,5283600.0,ns,114
Parser,manual,fun.lox,,,6232600.0,ns,133
Parser,manual,fun.lox,,,7084500.0,ns,152
Parser,manual,fun.lox,,,7876300.0,ns,171
Parser,manual,fun.lox,,,8814400.0,ns,190
Parser,manual,fun.lox,,,9629800.0,ns,209
Parser,manual,fun.lox,,,10570600.0,ns,228
Parser,manual,fun.lox,,,11350000.0,ns,247
Parser,manual,fun.lox,,,12531200.0,ns,266
Parser,manual,fun.lox,,,13236200.0,ns,285
Parser,manual,fun.lox,,,14172200.0,ns,304
Parser,manual,fun.lox,,,14991800.0,ns,323
Parser,manual,fun.lox,,,15934800.0,ns,342
Parser,manual,fun.lox,,,16564400.0,ns,361
Parser,manual,fun.lox,,,17569000.0,ns,380
Parser,manual,fun.lox,,,18410800.0,ns,399
Parser,manual,fun.lox,,,19386800.0,ns,418
Parser,manual,fun.lox,,,19946200.0,ns,437
Parser,manual,fun.lox,,,20882900.0,ns,456
Parser,manual,fun.lox,,,21993400.0,ns,475
Parser,manual,fun.lox,,,22844600.0,ns,494
Parser,manual,fun.lox,,,23664300.0,ns,513
Parser,manual,fun.lox,,,25070000.0,ns,532
Parser,manual,fun.lox,,,25516000.0,ns,551
Parser,manual,fun.lox,,,26277600.0,ns,570
Parser,manual,fun.lox,,,27044000.0,ns,589
Parser,manual,fun.lox,,,28097600.0,ns,608
Parser,manual,fun.lox,,,28862700.0,ns,627
Parser,manual,fun.lox,,,29977500.0,ns,646
Parser,manual,fun.lox,,,34140200.0,ns,665
Parser,manual,fun.lox,,,32285500.0,ns,684
Parser,manual,fun.lox,,,32501200.0,ns,703
Parser,manual,fun.lox,,,33463000.0,ns,722
Parser,manual,fun.lox,,,34272300.0,ns,741
Parser,manual,fun.lox,,,35235000.0,ns,760
Parser,manual,fun.lox,,,35846400.0,ns,779
Parser,manual,fun.lox,,,36799200.0,ns,798
Parser,manual,fun.lox,,,37702200.0,ns,817
Parser,manual,fun.lox,,,38796100.0,ns,836
Parser,manual,fun.lox,,,39554100.0,ns,855
Parser,manual,fun.lox,,,40079100.0,ns,874
Parser,manual,fun.lox,,,41945100.0,ns,893
Parser,manual,fun.lox,,,42737300.0,ns,912
Parser,manual,fun.lox,,,43407900.0,ns,931
Parser,manual,fun.lox,,,44379500.0,ns,950
Parser,manual,fun.lox,,,45094700.0,ns,969
Parser,manual,fun.lox,,,46346700.0,ns,988
Parser,manual,fun.lox,,,46582900.0,ns,1007
Parser,manual,fun.lox,,,47403000.0,ns,1026
Parser,manual,fun.lox,,,48473800.0,ns,1045
Parser,manual,fun.lox,,,49008600.0,ns,1064
Parser,manual,fun.lox,,,50271400.0,ns,1083
Parser,manual,fun.lox,,,51483600.0,ns,1102
Parser,manual,fun.lox,,,52822900.0,ns,1121
Parser,manual,fun.lox,,,53068000.0,ns,1140
Parser,manual,fun.lox,,,53859500.0,ns,1159
Parser,manual,fun.lox,,,54502100.0,ns,1178
Parser,manual,fun.lox,,,55215600.0,ns,1197
Parser,manual,fun.lox,,,55935700.0,ns,1216
Parser,manual,fun.lox,,,56749300.0,ns,1235
Parser,manual,fun.lox,,,58026900.0,ns,1254
Parser,manual,fun.lox,,,59392000.0,ns,1273
Parser,manual,fun.lox,,,60784200.0,ns,1292
Parser,manual,fun.lox,,,61239000.0,ns,1311
Parser,manual,fun.lox,,,61882000.0,ns,1330
Parser,manual,fun.lox,,,62661800.0,ns,1349
Parser,manual,fun.lox,,,63254400.0,ns,1368
Parser,manual,fun.lox,,,64042900.0,ns,1387
Parser,manual,fun.lox,,,64735500.0,ns,1406
Parser,manual,fun.lox,,,66546700.0,ns,1425
Parser,manual,fun.lox,,,67376700.0,ns,1444
Parser,manual,fun.lox,,,67553200.0,ns,1463
Parser,manual,fun.lox,,,68604700.0,ns,1482
Parser,manual,fun.lox,,,69270700.0,ns,1501
Parser,manual,fun.lox,,,70378400.0,ns,1520
Parser,manual,fun.lox,,,71141800.0,ns,1539
Parser,manual,fun.lox,,,72382900.0,ns,1558
Parser,manual,fun.lox,,,74169600.0,ns,1577
Parser,manual,fun.lox,,,74342400.0,ns,1596
Parser,manual,fun.lox,,,74955600.0,ns,1615
Parser,manual,fun.lox,,,75246700.0,ns,1634
Parser,manual,fun.lox,,,76389300.0,ns,1653
Parser,manual,fun.lox,,,77773700.0,ns,1672
Parser,manual,fun.lox,,,79117400.0,ns,1691
Parser,manual,fun.lox,,,79898800.0,ns,1710
Parser,manual,fun.lox,,,80443500.0,ns,1729
Parser,manual,fun.lox,,,81607600.0,ns,1748
Parser,manual,fun.lox,,,81968100.0,ns,1767
Parser,manual,fun.lox,,,82895900.0,ns,1786
Parser,manual,fun.lox,,,83965900.0,ns,1805
Parser,manual,fun.lox,,,86542500.0,ns,1824
Parser,manual,fun.lox,,,86003000.0,ns,1843
Parser,manual,fun.lox,,,86990800.0,ns,1862
Parser,manual,fun.lox,,,86895700.0,ns,1881
Parser,manual,fun.lox,,,89672000.0,ns,1900
