group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,manual,linked-list.lox,,,880700.0,ns,5
Parser,manual,linked-list.lox,,,1682600.0,ns,10
Parser,manual,linked-list.lox,,,2519200.0,ns,15
Parser,manual,linked-list.lox,,,3319700.0,ns,20
Parser,manual,linked-list.lox,,,4163900.0,ns,25
Parser,manual,linked-list.lox,,,4927900.0,ns,30
Parser,manual,linked-list.lox,,,5824000.0,ns,35
Parser,manual,linked-list.lox,,,6710400.0,ns,40
Parser,manual,linked-list.lox,,,7525900.0,ns,45
Parser,manual,linked-list.lox,,,8345900.0,ns,50
Parser,manual,linked-list.lox,,,9205800.0,ns,55
Parser,manual,linked-list.lox,,,9949900.0,ns,60
Parser,manual,linked-list.lox,,,10819400.0,ns,65
Parser,manual,linked-list.lox,,,11625600.0,ns,70
Parser,manual,linked-list.lox,,,12453500.0,ns,75
Parser,manual,linked-list.lox,,,13339700.0,ns,80
Parser,manual,linked-list.lox,,,14109700.0,ns,85
Parser,manual,linked-list.lox,,,15350900.0,ns,90
Parser,manual,linked-list.lox,,,16526300.0,ns,95
Parser,manual,linked-list.lox,,,17586100.0,ns,100
Parser,manual,linked-list.lox,,,18104700.0,ns,105
Parser,manual,linked-list.lox,,,18897200.0,ns,110
Parser,manual,linked-list.lox,,,19978900.0,ns,115
Parser,manual,linked-list.lox,,,20661500.0,ns,120
Parser,manual,linked-list.lox,,,21453300.0,ns,125
Parser,manual,linked-list.lox,,,22458000.0,ns,130
Parser,manual,linked-list.lox,,,23077700.0,ns,135
Parser,manual,linked-list.lox,,,23808000.0,ns,140
Parser,manual,linked-list.lox,,,24706700.0,ns,145
Parser,manual,linked-list.lox,,,25547800.0,ns,150
Parser,manual,linked-list.lox,,,26323400.0,ns,155
Parser,manual,linked-list.lox,,,27294300.0,ns,160
Parser,manual,linked-list.lox,,,28191800.0,ns,165
Parser,manual,linked-list.lox,,,28880700.0,ns,170
Parser,manual,linked-list.lox,,,29573500.0,ns,175
Parser,manual,linked-list.lox,,,30438200.0,ns,180
Parser,manual,linked-list.lox,,,31405100.0,ns,185
Parser,manual,linked-list.lox,,,32059200.0,ns,190
Parser,manual,linked-list.lox,,,32966100.0,ns,195
Parser,manual,linked-list.lox,,,33615700.0,ns,200
Parser,manual,linked-list.lox,,,34872100.0,ns,205
Parser,manual,linked-list.lox,,,35709400.0,ns,210
Parser,manual,linked-list.lox,,,36541200.0,ns,215
Parser,manual,linked-list.lox,,,37490500.0,ns,220
Parser,manual,linked-list.lox,,,38785200.0,ns,225
Parser,manual,linked-list.lox,,,39444800.0,ns,230
Parser,manual,linked-list.lox,,,39865400.0,ns,235
Parser,manual,linked-list.lox,,,40437000.0,ns,240
Parser,manual,linked-list.lox,,,41685000.0,ns,245
Parser,manual,linked-list.lox,,,42343500.0,ns,250
Parser,manual,linked-list.lox,,,43385300.0,ns,255
Parser,manual,linked-list.lox,,,44251800.0,ns,260
Parser,manual,linked-list.lox,,,44855100.0,ns,265
Parser,manual,linked-list.lox,,,45650900.0,ns,270
Parser,manual,linked-list.lox,,,46498000.0,ns,275
Parser,manual,linked-list.lox,,,47342600.0,ns,280
Parser,manual,linked-list.lox,,,48473100.0,ns,285
Parser,manual,linked-list.lox,,,49278100.0,ns,290
Parser,manual,linked-list.lox,,,49903100.0,ns,295
Parser,manual,linked-list.lox,,,50389400.0,ns,300
Parser,manual,linked-list.lox,,,52324600.0,ns,305
Parser,manual,linked-list.lox,,,53665700.0,ns,310
Parser,manual,linked-list.lox,,,53630300.0,ns,315
Parser,manual,linked-list.lox,,,54577300.0,ns,320
Parser,manual,linked-list.lox,,,55419200.0,ns,325
Parser,manual,linked-list.lox,,,56929000.0,ns,330
Parser,manual,linked-list.lox,,,56730100.0,ns,335
Parser,manual,linked-list.lox,,,57712100.0,ns,340
Parser,manual,linked-list.lox,,,58378500.0,ns,345
Parser,manual,linked-list.lox,,,58993000.0,ns,350
Parser,manual,linked-list.lox,,,60259300.0,ns,355
Parser,manual,linked-list.lox,,,60626000.0,ns,360
Parser,manual,linked-list.lox,,,61162200.0,ns,365
Parser,manual,linked-list.lox,,,62590100.0,ns,370
Parser,manual,linked-list.lox,,,62965700.0,ns,375
Parser,manual,linked-list.lox,,,64290500.0,ns,380
Parser,manual,linked-list.lox,,,65283400.0,ns,385
Parser,manual,linked-list.lox,,,66254400.0,ns,390
Parser,manual,linked-list.lox,,,67112100.0,ns,395
Parser,manual,linked-list.lox,,,68177500.0,ns,400
Parser,manual,linked-list.lox,,,69403400.0,ns,405
Parser,manual,linked-list.lox,,,70653700.0,ns,410
Parser,manual,linked-list.lox,,,71060400.0,ns,415
Parser,manual,linked-list.lox,,,71599800.0,ns,420
Parser,manual,linked-list.lox,,,72299800.0,ns,425
Parser,manual,linked-list.lox,,,72977300.0,ns,430
Parser,manual,linked-list.lox,,,73869200.0,ns,435
Parser,manual,linked-list.lox,,,74881100.0,ns,440
Parser,manual,linked-list.lox,,,75496000.0,ns,445
Parser,manual,linked-list.lox,,,75979800.0,ns,450
Parser,manual,linked-list.lox,,,77279300.0,ns,455
Parser,manual,linked-list.lox,,,80336000.0,ns,460
Parser,manual,linked-list.lox,,,79723300.0,ns,465
Parser,manual,linked-list.lox,,,80536800.0,ns,470
Parser,manual,linked-list.lox,,,83694400.0,ns,475
Parser,manual,linked-list.lox,,,84912500.0,ns,480
Parser,manual,linked-list.lox,,,83854900.0,ns,485
Parser,manual,linked-list.lox,,,81425100.0,ns,490
Parser,manual,linked-list.lox,,,82260300.0,ns,495
Parser,manual,linked-list.lox,,,83087700.0,ns,500
